ID,Name,Description
262,WormRecovery(Torch),
264,SetCultBool,
266,FallDeathIsDisabled,
267,AiVisualDistanceChange,
269,Unknown,
270,Unknown,
275,Player Behavior ID Change,Enables Beh ID
276,Disable Frostbite,Removes effects
277,Trigger Great Rune,Many soul particle effects
278,DisableSpellEffect,
280,WatchdogTriggerForHost,
281,WetSystemTrigger,
282,NPC Correction for Coop,
283,Tears of Denial Trigger,
284,Heal Spell,
285,Unknown,
286,Weak Movement Slow,
287,Strong Movement Slow,
288,Trigger on Critical Hit (HP),
289,Trigger on Critical Hit (FP),
290,Extend Roll Invincibility,
291,Grants roll invisibility,
292,Repair1,
293,Change Durability,
294,Unknown,
295,Unknown,
296,Chr Finder,Unknown
297,Not in Multiplayer Session,
298,Trigger on Player Backstab,
299,Enemies attack Invaders,
300,Enemies attack Invaders,
301,1410370B1,
302,Warp to Grace,
303,Conditional 1,
304,Conditional 2,
305,Conditional 3,
306,Conditional 4,
307,Conditional 5,
308,Conditional 6,
309,Conditional 7,
310,Conditional 8,
311,Conditional 9,
312,Unknown,
313,Seek Guidance,
314,Add Guard Stability,
315,Scale Attack Power with Equip Load,
316,CalcCorrectGraph_33,
317,Revoke Online Penalty,
318,Dead Again,
319,Unknown,
320,Unknown,
321,Reverse Hollowing,
322,ChrAsmStyle_HKS_LEFTHAND,
323,ChrAsmStyle_HKS_RIGHTHAND,
324,Unknown,
325,Wet Aspect Param,
326,Switch Animation Gender,
327,Ember,
328,Change Durability,
329,GetEstusCharge,
330,"Online Check, Reset Event Flag 2100",
331,AiParam1,
332,AiParam_effect16189,
333,Spell Enhance (+6 to ID),
334,Bullet Behavior ID Change,
335,Trigger during Critical Hit,
336,Summon Torrent,Spawns horse briefly
339,Unknown,
357,Spirit Summon,
367,Enhance Critical Attacks,
371,Unknown,
379,Trigger in Presence of Blood Loss,
380,Trigger in Presence of Rot,
390,Pacify Wild Animals,
391,Unknown,
392,Unknown,
393,Unknown,
395,Unknown,
396,Unknown,
397,Unknown,
398,Unknown,
399,Unknown,
402,Gives you FURLCALLING FINGER REMEDY,
404,Unknown,
405,Reveal Phantom Signs,
406,Request Friendly Phantom,Hunters from other worlds will be automatically summoned to rescue you when your world is invaded (toggle)
407,Answer Phantom Request,You will now respond to calls for rescue from other worlds (toggle)
408,Encourage Invasion,
409,Send Summon Sign to Pool,
410,Send Invasion Sign to Pool,
417,Unknown,
418,Unknown,
432,Changes landing sound?,
435,Unknown,
436,Sleep,
437,Madness,
438,Disable Sleep,
439,Disable Madness,
447,Phantom Great Rune Effect,
448,Heal Invader when Blessed Enemy Kills Player,
450,Reduce Headshot Impact,
458,Attempt Invasion,Re-summons you while summoned
466,Trigger on Crouch,
468,Unknown,Behs for bullets
1000,SkipSpCategoryCheck1,
1001,SkipSpCategoryCheck2,
