ID,Hex,NAME,説明 (日本語-japanese),描述 (中文-chinese),Опис (українська-ukrainian),Beschreibung (deutsch-german),Описание (русский-russian),La description (français-french),설명 (한국어-korean)
2000900,1E8804,Cold Longsword,冷たいロングソード,寒冷长剑,Морозний довгий меч,,Морозный длинный меч,,
2001000,1E8868,Poison Longsword,毒のロングソード,毒长剑,Отруйний довгий меч,,Отравленный длинный меч,,
2001100,1E88CC,Bloody Longsword,血のロングソード,血长剑,Кривавий довгий меч,,Окровавленный длинный меч,,
2001200,1E8930,Occult Longsword,神秘のロングソード,神秘长剑,Окультний довгий меч,,Оккультный длинный меч,,
2010000,1EAB90,Short Sword,ショートソード,短剑,Короткий меч,,Короткий меч,,
2010100,1EABF4,Heavy Short Sword,重厚なショートソード,厚重短剑,Важкий короткий меч,,Тяжёлый короткий меч,,
2010200,1EAC58,Keen Short Sword,鋭利なショートソード,锋利短剑,Стрімкий короткий меч,,Острый короткий меч,,
2010300,1EACBC,Quality Short Sword,上質なショートソード,优质短剑,Якісний короткий меч,,Качественный короткий меч,,
2010400,1EAD20,Fire Short Sword,炎のショートソード,火焰短剑,Вогняний короткий меч,,Огненный короткий меч,,
2010500,1EAD84,Flame Art Short Sword,炎術のショートソード,焰术短剑,Полум'яний короткий меч,,Пылающий короткий меч,,
2010600,1EADE8,Lightning Short Sword,雷のショートソード,雷电短剑,Блискавковий короткий меч,,Громовой короткий меч,,
2010700,1EAE4C,Sacred Short Sword,神聖なショートソード,神圣短剑,Священний короткий меч,,Священный короткий меч,,
2010800,1EAEB0,Magic Short Sword,魔力のショートソード,魔力短剑,Магічний короткий меч,,Зачарованный короткий меч,,
2010900,1EAF14,Cold Short Sword,冷たいショートソード,寒冷短剑,Морозний короткий меч,,Морозный короткий меч,,
2011000,1EAF78,Poison Short Sword,毒のショートソード,毒短剑,Отруйний короткий меч,,Отравленный короткий меч,,
2011100,1EAFDC,Blood Short Sword,血のショートソード,血短剑,Кривавий короткий меч,,Кровавый короткий меч,,
2011200,1EB040,Occult Short Sword,神秘のショートソード,神秘短剑,Окультний короткий меч,,Оккультный короткий меч,,
2020000,1ED2A0,Broadsword,ブロードソード,阔剑,Широкий меч,,Палаш,,
2020100,1ED304,Heavy Broadsword,重厚なブロードソード,厚重阔剑,Важкий широкий меч,,Тяжёлый палаш,,
2020200,1ED368,Keen Broadsword,鋭利なブロードソード,锋利阔剑,Стрімкий широкий меч,,Острый палаш,,
2020300,1ED3CC,Quality Broadsword,上質なブロードソード,优质阔剑,Якісний широкий меч,,Качественный палаш,,
2020400,1ED430,Fire Broadsword,炎のブロードソード,火焰阔剑,Вогняний широкий меч,,Огненный палаш,,
2020500,1ED494,Flame Art Broadsword,炎術のブロードソード,焰术阔剑,Полум'яний широкий меч,,Пылающий палаш,,
2020600,1ED4F8,Lightning Broadsword,雷のブロードソード,雷电阔剑,Блискавковий широкий меч,,Громовой палаш,,
2020700,1ED55C,Sacred Broadsword,神聖なブロードソード,神圣阔剑,Священний широкий меч,,Священный палаш,,
2020800,1ED5C0,Magic Broadsword,魔力のブロードソード,魔力阔剑,Магічний широкий меч,,Зачарованный палаш,,
2020900,1ED624,Cold Broadsword,冷たいブロードソード,寒冷阔剑,Морозний широкий меч,,Морозный палаш,,
2021000,1ED688,Poison Broadsword,毒のブロードソード,毒阔剑,Отруйний широкий меч,,Отравленный палаш,,
2021100,1ED6EC,Blood Broadsword,血のブロードソード,血阔剑,Кривавий широкий меч,,Кровавый палаш,,
2021200,1ED750,Occult Broadsword,神秘のブロードソード,神秘阔剑,Окультний широкий меч,,Оккультный палаш,,
2030000,1EF9B0,Royal Soldier Straight Sword,,,,,,,
2040000,1F20C0,Lordsworn's Straight Sword,君主軍の直剣,君王军直剑,Прямий меч присяги,,Армейский меч,,
2040100,1F2124,Lordsworn's Heavy Straight Sword,重厚な君主軍直剣,厚重君王军直剑,Важкий меч присяги,,Тяжёлый армейский меч,,
2040200,1F2188,Lordsworn's Keen Straight Sword,鋭利な君主軍直剣,锋利君王军直剑,Стрімкий меч присяги,,Острый армейский меч,,
2040300,1F21EC,Lordsworn's Quality Straight Sword,上質な君主軍直剣,优质君王军直剑,Якісний меч присяги,,Качественный армейский меч,,
2040400,1F2250,Lordsworn's Fire Straight Sword,炎の君主軍直剣,火焰君王军直剑,Вогняний меч присяги,,Огненный армейский меч,,
2040500,1F22B4,Lordsworn's Flame Art Straight Sword,炎術の君主軍直剣,焰术君王军直剑,Полум'яний меч присяги,,Пылающий армейский меч,,
2040600,1F2318,Lordsworn's Lightning Straight Sword,雷の君主軍直剣,雷电君王军直剑,Блискавковий меч присяги,,Громовой армейский меч,,
2040700,1F237C,Lordsworn's Sacred Straight Sword,神聖な君主軍直剣,神圣君王军直剑,Священний меч присяги,,Священный армейский меч,,
2040800,1F23E0,Lordsworn's Magic Straight Sword,魔力の君主軍直剣,魔力君王军直剑,Магічний меч присяги,,Зачарованный армейский меч,,
2040900,1F2444,Lordsworn's Cold Straight Sword,冷たい君主軍直剣,寒冷君王军直剑,Морозний меч присяги,,Морозный армейский меч,,
2041000,1F24A8,Lordsworn's Poison Straight Sword,毒の君主軍直剣,毒君王军直剑,Отруйний меч присяги,,Отравленный армейский меч,,
2041100,1F250C,Lordsworn's Blood Straight Sword,血の君主軍直剣,血君王军直剑,Кривавий меч присяги,,Кровавый армейский меч,,
2041200,1F2570,Lordsworn's Occult Straight Sword,神秘の君主軍直剣,神秘君王军直剑,Окультний меч присяги,,Оккультный армейский меч,,
2050000,1F47D0,Weathered Straight Sword,古びた直剣,老旧直剑,Давній прямий меч,,Старинный меч,,
2050100,1F4834,Weathered Heavy Straight Sword,重厚な古びた直剣,厚重老旧直剑,Важкий давній меч,,Тяжёлый старинный меч,,
2050200,1F4898,Weathered Keen Straight Sword,鋭利な古びた直剣,锋利老旧直剑,Стрімкий давній меч,,Острый старинный меч,,
2050300,1F48FC,Weathered Quality Straight Sword,上質な古びた直剣,优质老旧直剑,Якісний давній меч,,Качественный старинный меч,,
2050400,1F4960,Weathered Fire Straight Sword,炎の古びた直剣,火焰老旧直剑,Вогняний давній меч,,Огненный старинный меч,,
2050500,1F49C4,Weathered Flame Art Straight Sword,炎術の古びた直剣,焰术老旧直剑,Полум'яний давній меч,,Пылающий старинный меч,,
2050600,1F4A28,Weathered Lightning Straight Sword,雷の古びた直剣,雷电老旧直剑,Блискавковий давній меч,,Громовой старинный меч,,
2050700,1F4A8C,Weathered Sacred Straight Sword,神聖な古びた直剣,神圣老旧直剑,Священний давній меч,,Священный старинный меч,,
2050800,1F4AF0,Weathered Magic Straight Sword,魔力の古びた直剣,魔力老旧直剑,Магічний давній меч,,Зачарованный старинный меч,,
2050900,1F4B54,Weathered Cold Straight Sword,冷たい古びた直剣,寒冷老旧直剑,Морозний давній меч,,Морозный старинный меч,,
2051000,1F4BB8,Weathered Poison Straight Sword,毒の古びた直剣,毒老旧直剑,Отруйний давній меч,,Отравленный армейский меч,,
2051100,1F4C1C,Weathered Blood Straight Sword,血の古びた直剣,血老旧直剑,Кривавий давній меч,,Кровавый старинный меч,,
2051200,1F4C80,Weathered Occult Straight Sword,神秘の古びた直剣,神秘老旧直剑,Окультний давній меч,,Оккультный старинный меч,,
2060000,1F6EE0,Ornamental Straight Sword,儀仗の直剣,仪式直剑,Оздоблений прямий меч,,Узорчатый меч,,
2070000,1F95F0,Golden Epitaph,黄金の墓標,黄金墓碑,Золота епітафія,,Золотая эпитафия,,
2080000,1FBD00,Nox Flowing Sword,ノクスの流体剣,诺克斯流体剑,Плинний меч нокса,,Текучий меч Нокса,,
2090000,1FE410,Inseparable Sword,分かたれぬ双児の剣,紧密孪生剑,Неподільний меч,,Неделимый меч,,
2090100,1FE474,Heavy Inseparable Sword,,,,,,,
2090200,1FE4D8,Keen Inseparable Sword,,,,,,,
2090300,1FE53C,Quality Inseparable Sword,,,,,,,
2090400,1FE5A0,Fire Inseparable Sword,,,,,,,
2090500,1FE604,Flame Art Inseparable Sword,,,,,,,
2090600,1FE668,Lightning Inseparable Sword,,,,,,,
2090700,1FE6CC,Sacred Inseparable Sword,,,,,,,
2090800,1FE730,Magic Inseparable Sword,,,,,,,
2090900,1FE794,Cold Inseparable Sword,,,,,,,
2091000,1FE7F8,Poison Inseparable Sword,,,,,,,
2091100,1FE85C,Blood Inseparable Sword,,,,,,,
2091200,1FE8C0,Occult Inseparable Sword,,,,,,,
2110000,203230,Coded Sword,秘文字の剣,秘文剑,Тайнописний меч,,Тайный меч,,
2140000,20A760,Sword of Night and Flame,夜と炎の剣,夜与火之剑,Меч ночі та полум'я,,Меч ночи и пламени,,
2150000,20CE70,Crystal Sword,結晶剣,结晶剑,Кристалічний меч,,Кристальный меч,,
2180000,2143A0,Carian Knight's Sword,カーリアの騎士剣,卡利亚骑士剑,Меч карійського лицаря,,Меч карианского рыцаря,,
2190000,216AB0,Sword of St. Trina,トリーナの剣,托莉娜剑,Меч св. Тріни,,Меч святой Трины,,
2200000,2191C0,Miquellan Knight's Sword,ミケラの騎士剣,米凯拉骑士剑,Меч лицаря Мікелли,,Меч рыцаря Микеллы,,
2210000,21B8D0,Cane Sword,杖剣,手杖剑,Меч-ціпок,,Меч-трость,,
2210100,21B934,Heavy Cane Sword,重厚な杖剣,厚重手杖剑,Важкий меч-ціпок,,Тяжёлый меч-трость,,
2210200,21B998,Keen Cane Sword,鋭利な杖剣,锋利手杖剑,Стрімкий меч-ціпок,,Острый меч-трость,,
2210300,21B9FC,Quality Cane Sword,上質な杖剣,优质手杖剑,Якісний меч-ціпок,,Качественный меч-трость,,
2210400,21BA60,Fire Cane Sword,炎の杖剣,火焰手杖剑,Вогняний меч-ціпок,,Огненный меч-трость,,
2210500,21BAC4,Flame Art Cane Sword,炎術の杖剣,焰术手杖剑,Полум'яний меч-ціпок,,Пылающий меч-трость,,
2210600,21BB28,Lightning Cane Sword,雷の杖剣,雷电手杖剑,Блискавковий меч-ціпок,,Громовой меч-трость,,
2210700,21BB8C,Sacred Cane Sword,神聖な杖剣,神圣手杖剑,Священний меч-ціпок,,Священный меч-трость,,
2210800,21BBF0,Magic Cane Sword,魔力の杖剣,魔力手杖剑,Магічний меч-ціпок,,Зачарованный меч-трость,,
2210900,21BC54,Cold Cane Sword,冷たい杖剣,寒冷手杖剑,Морозний меч-ціпок,,Морозный меч-трость,,
2211000,21BCB8,Poison Cane Sword,毒の杖剣,毒手杖剑,Отруйний меч-ціпок,,Отравленный меч-трость,,
2211100,21BD1C,Blood Cane Sword,血の杖剣,血手杖剑,Кривавий меч-ціпок,,Кровавый меч-трость,,
2211200,21BD80,Occult Cane Sword,神秘の杖剣,神秘手杖剑,Окультний меч-ціпок,,Оккультный меч-трость,,
2220000,21DFE0,Regalia of Eochaid,エオヒドの宝剣,欧赫宝剑,Регалія Йокайда,,Регалии Эокайда,,
2230000,2206F0,Noble's Slender Sword,貴人の細剣,权贵细身剑,Тонкий меч шляхтича,,Тонкий клинок вельможи,,
2230100,220754,Noble's Heavy Slender Sword,重厚な貴人細剣,厚重权贵细身剑,Важкий меч шляхтича,,Тяжёлый тонкий клинок вельможи,,
2230200,2207B8,Noble's Keen Slender Sword,鋭利な貴人細剣,锋利权贵细身剑,Стрімкий меч шляхтича,,Острый тонкий клинок вельможи,,
2230300,22081C,Noble's Quality Slender Sword,上質な貴人細剣,优质权贵细身剑,Якісний меч шляхтича,,Качественный тонкий клинок вельможи,,
2230400,220880,Noble's Fire Slender Sword,炎の貴人細剣,火焰权贵细身剑,Вогняний меч шляхтича,,Огненный тонкий клинок вельможи,,
2230500,2208E4,Noble's Flame Art Slender Sword,炎術の貴人細剣,焰术权贵细身剑,Полум'яний меч шляхтича,,Пылающий тонкий клинок вельможи,,
2230600,220948,Noble's Lightning Slender Sword,雷の貴人細剣,雷电权贵细身剑,Блискавковий меч шляхтича,,Громовой тонкий клинок вельможи,,
