ID,NAME,説明 (日本語-japanese),描述 (中文-chinese),Опис (українська-ukrainian),Beschreibung (deutsch-german),Описание (русский-russian),La description (français-french),설명 (한국어-korean)
50300,Kaiden Trousers,カイデンのズボン,凯丹长裤,Кайденські штани,,Штаны из Кайдена,,
60000,Drake Knight Helm,竜騎士の兜,龙骑士头盔,Шолом драконячого лицаря,,Шлем драконьего рыцаря,,
60100,Drake Knight Armor,竜騎士の鎧,龙骑士铠甲,Панцир драконячого лицаря,,Доспех драконьего рыцаря,,
60200,Drake Knight Gauntlets,竜騎士の手甲,龙骑士臂甲,Рукавички драконячого лицаря,,Перчатки драконьего рыцаря,,
60300,Drake Knight Greaves,竜騎士の足甲,龙骑士腿甲,Поножі драконячого лицаря,,Поножи драконьего рыцаря,,
61000,Drake Knight Helm (Altered),竜騎士の兜（軽装）,龙骑士头盔（轻装）,Шолом драконячого лицаря (змінений),,Шлем драконьего рыцаря (измен.),,
61100,Drake Knight Armor (Altered),竜騎士の鎧（軽装）,龙骑士铠甲（轻装）,Панцир драконячого лицаря (змінений),,Доспех драконьего рыцаря (измен.),,
80000,Scaled Helm,鱗の兜,鳞片头盔,Лускатий шолом,,Чешуйчатый шлем,,
80100,Scaled Armor,鱗の鎧,鳞片铠甲,Лускатий панцир,,Чешуйчатый доспех,,
80200,Scaled Gauntlets,鱗の手甲,鳞片臂甲,Лускатий рукавички,,Чешуйчатые перчатки,,
80300,Scaled Greaves,鱗の足甲,鳞片腿甲,Лускатий поножі,,Чешуйчатые поножи,,
81100,Scaled Armor (Altered),鱗の鎧（軽装）,鳞片铠甲（轻装）,Лускатий панцир (змінений),,Чешуйчатый доспех (измен.),,
90000,Perfumer Hood,調香師のフード,调香师风帽,Каптур парфумера,,Капюшон парфюмера,,
90100,Perfumer Robe,調香師のローブ,调香师长袍,Мантія парфумера,,Одеяние парфюмера,,
90200,Perfumer Gloves,調香師の手袋,调香师手套,Рукавичка парфумера,,Перчатки парфюмера,,
90300,Perfumer Sarong,調香師の腰布,调香师腰巾,Саронг парфумера,,Саронг парфюмера,,
91100,Perfumer Robe (Altered),調香師のローブ（軽装）,调香师长袍（轻装）,Мантія парфумера (змінена),,Одеяние парфюмера (измен.),,
100000,Traveler's Hat,旅の帽子,旅行帽子,Капелюх мандрівника,,Шляпа странника,,
100100,Perfumer's Traveling Garb,調香師の旅装,调香师旅行装,Мандрівне вбрання парфумера,,Дорожное одеяние странника,,
100200,Traveler's Gloves,旅の手袋,旅行手套,Рукавички мандрівника,,Перчатки странника,,
100300,Traveler's Slops,旅のズボン,旅行长裤,Штани мандрівника,,Штаны странника,,
101100,Perfumer's Traveling Garb (Altered),調香師の旅装（軽装）,调香师旅行装（轻装）,Мандрівне вбрання парфумера (змінене),,Дорожное одеяние парфюмера (измен.),,
120000,Alberich's Pointed Hat,アルベリッヒの尖り帽,阿尔佩利希尖帽,Гостроверхий капелюх Альберіка,,Остроконечная шляпа Альберика,,
120100,Alberich's Robe,アルベリッヒの装束,阿尔佩利希上衣,Вбрання Альберіка,,Одеяние Альберика,,
120200,Alberich's Bracers,アルベリッヒの手甲,阿尔佩利希臂甲,Нарукавники Альберіка,,Наручи Альберика,,
120300,Alberich's Trousers,アルベリッヒのズボン,阿尔佩利希长裤,Штани Альберіка,,Штаны Альберика,,
121000,Alberich's Pointed Hat (Altered),アルベリッヒの尖り帽（軽装）,阿尔佩利希尖帽（轻装）,Гостроверхий капелюх Альберіка (змінений),,Остроконечная шляпа Альберика (измен.),,
121100,Alberich's Robe (Altered),アルベリッヒの装束（軽装）,阿尔佩利希上衣（轻装）,Вбрання Альберіка (змінене),,Одеяние Альберика (измен.),,
130000,Spellblade's Pointed Hat,魔術剣士の尖り帽,魔法剑士尖帽,Гостроверхий капелюх мага-мечника,,Остроконечная шляпа воина-мага,,
130100,Spellblade's Traveling Attire,魔術剣士の旅装束,魔法剑士旅行装,Мандрівне вбрання мага-мечника,,Дорожное облачение воина-мага,,
130200,Spellblade's Gloves,魔術剣士の手袋,魔法剑士手套,Рукавички мага-мечника,,Перчатки воина-мага,,
130300,Spellblade's Trousers,魔術剣士のズボン,魔法剑士长裤,Штани мага-мечника,,Штаны воина-мага,,
131100,Spellblade's Traveling Attire (Altered),魔術剣士の旅装束（軽装）,魔法剑士旅行装（轻装）,Мандрівне вбрання мага-мечника (змінене),,Дорожное облачение воина-мага (измен.),,
140000,Bull-Goat Helm,大山羊の兜,大山羊头盔,Шолом козлобика,,Шлем овцебыка,,
140100,Bull-Goat Armor,大山羊の鎧,大山羊铠甲,Панцир козлобика,,Доспех овцебыка,,
140200,Bull-Goat Gauntlets,大山羊の手甲,大山羊臂甲,Рукавички козлобика,,Наручи овцебыка,,
140300,Bull-Goat Greaves,大山羊の足甲,大山羊腿甲,Поножі козлобика,,Поножи овцебыка,,
150000,Iron Kasa,鉄の編み笠,铁笠帽,Залізна каса,,Железная каса,,
150100,Ronin's Armor,浪人の鎧,浪人铠甲,Панцир роніна,,Доспех ронина,,
150200,Ronin's Gauntlets,浪人の手甲,浪人臂甲,Рукавички роніна,,Перчатки ронина,,
150300,Ronin's Greaves,浪人の足甲,浪人腿甲,Поножі роніна,,Поножи ронина,,
151100,Ronin's Armor (Altered),浪人の鎧（軽装）,浪人铠甲（轻装）,Панцир роніна (змінений),,Доспех ронина (измен.),,
160000,Guilty Hood,罪人のフード,罪人风帽,Каптур провини,,Капюшон провинности,,
160100,Cloth Garb,布の服,布质上衣,Ткане вбрання,,Тканое одеяние,,
160300,Cloth Trousers,布のズボン,布质长裤,Ткані штани,,Тканые штаны,,
170000,Black Wolf Mask,黒狼の仮面,黑狼面具,Маска чорного вовка,,Маска чёрного волка,,
170100,Blaidd's Armor,ブライヴの鎧,布莱泽铠甲,Панцир Блайда,,Доспех Блайда,,
170200,Blaidd's Gauntlets,ブライヴの手甲,布莱泽臂甲,Рукавички Блайда,,Перчатки Блайда,,
170300,Blaidd's Greaves,ブライヴの足甲,布莱泽腿甲,Поножі Блайда,,Поножи Блайда,,
171100,Blaidd's Armor (Altered),ブライヴの鎧（軽装）,布莱泽铠甲（轻装）,Панцир Блайда (змінений),,Доспех Блайда (измен.),,
180000,Black Knife Hood,黒き刃のフード,黑刀风帽,Каптур чорних ножів,,Капюшон Чёрного ножа,,
180100,Black Knife Armor,黒き刃の鎧,黑刀铠甲,Панцир чорних ножів,,Доспех Чёрного ножа,,
180200,Black Knife Gauntlets,黒き刃の手甲,黑刀臂甲,Рукавички чорних ножів,,Перчатки Чёрного ножа,,
180300,Black Knife Greaves,黒き刃の足甲,黑刀腿甲,Поножі чорних ножів,,Поножи Чёрного ножа,,
181100,Black Knife Armor (Altered),黒き刃の鎧（軽装）,黑刀铠甲（轻装）,Панцир чорних ножів (змінений),,Доспех Чёрного ножа (измен.),,
190000,Exile Hood,流刑兵のフード,流刑士兵风帽,Каптур вигнанця,,Капюшон изгнанника,,
190100,Exile Armor,流刑兵の鎧,流刑士兵铠甲,Панцир вигнанця,,Доспех изгнанника,,
190200,Exile Gauntlets,流刑兵の手甲,流刑士兵臂甲,Рукавички вигнанця,,Перчатки изгнанника,,
190300,Exile Greaves,流刑兵の足甲,流刑士兵腿甲,Поножі вигнанця,,Поножи изгнанника,,
200000,Banished Knight Helm,失地騎士の兜,失乡骑士头盔,Шолом лицаря-вигнанця,,Шлем рыцаря-изгнанника,,
200100,Banished Knight Armor,失地騎士の鎧,失乡骑士铠甲,Панцир лицаря-вигнанця,,Доспех рыцаря-изгнанника,,
200200,Banished Knight Gauntlets,失地騎士の手甲,失乡骑士臂甲,Рукавички лицаря-вигнанця,,Перчатки рыцаря-изгнанника,,
200300,Banished Knight Greaves,失地騎士の足甲,失乡骑士腿甲,Поножі лицаря-вигнанця,,Поножи рыцаря-изгнанника,,
201000,Banished Knight Helm (Altered),失地騎士の兜（軽装）,失乡骑士头盔（轻装）,Шолом лицаря-вигнанця (змінений),,Шлем рыцаря-изгнанника (измен.),,
201100,Banished Knight Armor (Altered),失地騎士の鎧（軽装）,失乡骑士铠甲（轻装）,Панцир лицаря-вигнанця (змінений),,Доспех рыцаря-изгнанника (измен.),,
202100,[ERROR} Chest,,,,,,,
210000,Briar Helm,鉄茨の兜,铁棘头盔,Шипований шолом,,Шлем с шипами,,
210100,Briar Armor,鉄茨の鎧,铁棘铠甲,Шипований панцир,,Доспех с шипами,,
210200,Briar Gauntlets,鉄茨の手甲,铁棘臂甲,Шиповані рукавички,,Перчатки с шипами,,
210300,Briar Greaves,鉄茨の足甲,铁棘腿甲,Шиповані поножі,,Поножи с шипами,,
211100,Briar Armor (Altered),鉄茨の鎧（軽装）,铁棘铠甲（轻装）,Шипований панцир (змінений),,Доспех с шипами (измен.),,
220000,Page Hood,小姓のフード,随从风帽,Каптур зброєносця,,Капюшон пажа,,
220100,Page Garb,小姓の服,随从上衣,Вбрання зброєносця,,Облачение пажа,,
220300,Page Trousers,小姓のズボン,随从长裤,Штани зброєносця,,Штаны пажа,,
221100,Page Garb (Altered),小姓の服（軽装）,随从上衣（轻装）,Вбрання зброєносця (змінене),,Облачение пажа (измен.),,
230000,Night's Cavalry Helm,夜騎兵の兜,黑夜骑兵头盔,Шолом нічного вершника,,Шлем ночных всадников,,
230100,Night's Cavalry Armor,夜騎兵の鎧,黑夜骑兵铠甲,Панцир нічного вершника,,Доспех ночных всадников,,
230200,Night's Cavalry Gauntlets,夜騎兵の手甲,黑夜骑兵臂甲,Рукавички нічного вершника,,Перчатки ночных всадников,,
230300,Night's Cavalry Greaves,夜騎兵の足甲,黑夜骑兵腿甲,Поножі нічного вершника,,Поножи ночных всадников,,
231000,Night's Cavalry Helm (Altered),夜騎兵の兜（軽装）,黑夜骑兵头盔（轻装）,Шолом нічного вершника (змінений),,Шлем Ночной конницы (измен.),,
231100,Night's Cavalry Armor (Altered),夜騎兵の鎧（軽装）,黑夜骑兵铠甲（轻装）,Панцир нічного вершника (змінений),,Доспех Ночной конницы (измен.),,
240000,Blue Silver Mail Hood,蒼銀のフード,苍银风帽,Срібно-синій кольчужний каптур,,Капюшон из синего серебра,,
240100,Blue Silver Mail Armor,蒼銀の鎧,苍银铠甲,Срібно-синій кольчужний панцир,,Доспех из синего серебра,,
240200,Blue Silver Bracelets,蒼銀の腕輪,苍银手环,Срібно-синій браслети,,Серебряные нарукавники,,
240300,Blue Silver Mail Skirt,蒼銀のスカート,苍银长裙,Срібно-синій кольчужна спідниця,,Юбка из синего серебра,,
241100,Blue Silver Mail Armor (Altered),蒼銀の鎧（軽装）,苍银铠甲（轻装）,Срібно-синій кольчужний панцир (змінений),,Доспех из синего серебра (измен.),,
250000,Nomadic Merchant's Chapeau,放浪商人の帽子,流浪商人帽子,Капелюх торговця-кочівника,,Шляпа торговца-кочевника,,
250100,Nomadic Merchant's Finery,放浪商人の装束,流浪商人上衣,Вбрання торговця-кочівника,,Одеяние торговца-кочевника,,
250300,Nomadic Merchant's Trousers,放浪商人のズボン,流浪商人长裤,Штани торговця-кочівника,,Штаны торговца-кочевника,,
251100,Nomadic Merchant's Finery (Altered),放浪商人の装束（軽装）,流浪商人上衣（轻装）,Вбрання торговця-кочівника (змінене),,Одеяние торговца-кочевника (измен.),,
260000,Malformed Dragon Helm,異形の竜兜,异形龙盔,Шолом потворного дракона,,Уродливый драконий шлем,,
260100,Malformed Dragon Armor,異形の竜鎧,异形龙铠,Панцир потворного дракона,,Уродливый драконий доспех,,
260200,Malformed Dragon Gauntlets,異形の竜手甲,异形龙臂甲,Рукавички потворного дракона,,Уродливые драконьи перчатки,,
260300,Malformed Dragon Greaves,異形の竜足甲,异形龙腿甲,Поножі потворного дракона,,Уродливые драконьи поножи,,
270000,Tree Sentinel Helm,ツリーガードの兜,大树守卫头盔,Шолом вартового Дерева,,Шлем Стража Древа,,
270100,Tree Sentinel Armor,ツリーガードの鎧,大树守卫铠甲,Панцир вартового Дерева,,Доспех Стража Древа,,
270200,Tree Sentinel Armor,ツリーガードの手甲,大树守卫臂甲,Рукавички вартового Дерева,,Перчатки Стража Древа,,
270300,Tree Sentinel Greaves,ツリーガードの足甲,大树守卫腿甲,Поножі вартового Дерева,,Поножи Стража Древа,,
271100,Tree Sentinel Armor (Altered),ツリーガードの鎧（軽装）,大树守卫铠甲（轻装）,Панцир вартового Дерева (змінений),,Доспех Стража Древа (измен.),,
280000,Royal Knight Helm,親衛騎士の兜,禁卫骑士头盔,Шолом королівського лицаря,,Шлем королевского рыцаря,,
280100,Royal Knight Armor,親衛騎士の鎧,禁卫骑士铠甲,Панцир королівського лицаря,,Доспех королевского рыцаря,,
280200,Royal Knight Gauntlets,親衛騎士の手甲,禁卫骑士臂甲,Рукавички королівського лицаря,,Перчатки королевского рыцаря,,
280300,Royal Knight Greaves,親衛騎士の足甲,禁卫骑士腿甲,Поножі королівського лицаря,,Поножи королевского рыцаря,,
281100,Royal Knight Armor (Altered),親衛騎士の鎧（軽装）,禁卫骑士铠甲（轻装）,Панцир королівського лицаря (змінений),,Доспех королевского рыцаря (измен.),,
290000,Nox Monk Hood,ノクス僧のフード,诺克斯修士风帽,Каптур монаха-нокса,,Капюшон монаха Нокса,,
290100,Nox Monk Armor,ノクス僧の鎧,诺克斯修士铠甲,Панцир монаха-нокса,,Доспех монаха Нокса,,
290200,Nox Monk Bracelets,ノクス僧の腕輪,诺克斯修士手环,Браслети монаха-нокса,,Перчатки монаха Нокса,,
290300,Nox Monk Greaves,ノクス僧の足甲,诺克斯修士腿甲,Поножі монаха-нокса,,Поножи монаха Нокса,,
291000,Nox Monk Hood (Altered),ノクス僧のフード（軽装）,诺克斯修士风帽（轻装）,Каптур монаха-нокса (змінений),,Капюшон монаха-нокса (измен.),,
291100,Nox Monk Armor (Altered),ノクス僧の鎧（軽装）,诺克斯修士铠甲（轻装）,Панцир монаха-нокса (змінений),,Доспех монаха-нокса (измен.),,
292000,Nox Swordstress Crown,ノクス剣士の冠,诺克斯剑士头冠,Корона мечниці-нокса,,Корона мечницы-нокса,,
292100,Nox Swordstress Armor,ノクス剣士の鎧,诺克斯剑士铠甲,Панцир мечниці-нокса,,Доспех мечницы-нокса,,
293000,Night Maiden Twin Crown,夜巫女の双冠,黑夜女巫双生冠,Подвійна корона служниці ночі,,Двойная корона ночной служанки,,
293100,Night Maiden Armor,夜巫女の鎧,黑夜女巫铠甲,Панцир служниці ночі,,Доспех ночной служанки,,
294000,Nox Swordstress Crown (Altered),ノクス剣士の冠（軽装）,诺克斯剑士头冠（轻装）,Корона мечниці-нокса (змінена),,Корона мечницы-нокса (измен.),,
294100,Nox Swordstress Armor (Altered),ノクス剣士の鎧（軽装）,诺克斯剑士铠甲（轻装）,Панцир мечниці-нокса (змінений),,Доспех мечницы-нокса (измен.),,
300000,Great Horned Headband,大角の頭環,大角头带,Пов'язка з великими рогами,,Повязка с крупными рогами,,
300100,Fur Raiment,毛皮の服,毛皮上衣,Хутряний одяг,,Меховая одежда,,
300300,Fur Leggings,毛皮の脚絆,毛皮绑腿,Хутряні наголінники,,Меховые поножи,,
301000,Shining Horned Headband,光角の頭環,光角头带,Пов'язка з блискучими рогами,,Повязка с сияющими рогами,,
301100,Shaman Furs,祭司の毛皮,祭司毛皮上衣,Хутряний одяг шамана,,Меховая накидка шамана,,
301300,Shaman Leggings,祭司の脚絆,祭司绑腿,Наголінники шамана,,Поножи шамана,,
310000,Duelist Helm,闘士の兜,斗士头盔,Шолом дуелянта,,Шлем дуэлянта,,
310100,Gravekeeper Cloak,墓守のマント,守墓斗篷,Плащ хранителя могил,,Плащ хранителя могил,,
310300,Duelist Greaves,闘士の足甲,斗士腿甲,Поножі дуелянта,,Поножи дуэлянта,,
311100,Gravekeeper Cloak (Altered),墓守のマント（軽装）,守墓斗篷（轻装）,Плащ хранителя могил (змінений),,Плащ хранителя могил (измен.),,
320000,Sanguine Noble Hood,血の貴族のフード,鲜血贵族风帽,Каптур кривавого шляхтича,,Кровавый благородный капюшон,,
320100,Sanguine Noble Robe,血の貴族のローブ,鲜血贵族长袍,Вбрання кривавого шляхтича,,Кровавое благородное одеяние,,
320300,Sanguine Noble Waistcloth,血の貴族の腰巻き,鲜血贵族腰巾,Набедреник кривавого шляхтича,,Кровавая благородная повязка,,
330000,Guardian Mask,守人の仮面,守卫面具,Маска вартового,,Маска стража,,
330100,Guardian Garb (Full Bloom),守人の服（花咲）,守卫上衣（开花）,Вбрання вартового (у розквіті),,Одеяние стража (цветочное),,
330200,Guardian Bracers,守人の手甲,守卫臂甲,Нарукавники вартового,,Нарукавники стража,,
330300,Guardian Greaves,守人の足甲,守卫腿甲,Поножі вартового,,Поножи стража,,
331100,Guardian Garb,守人の服,守卫上衣,Вбрання вартового,,Одеяние стража,,
340000,Cleanrot Helm,貴腐騎士の兜,尊腐骑士头盔,Шолом чистогнилі,,Шлем чистой гнили,,
340100,Cleanrot Armor,貴腐騎士の鎧,尊腐骑士铠甲,Панцир чистогнилі,,Доспех чистой гнили,,
340200,Cleanrot Gauntlets,貴腐騎士の手甲,尊腐骑士臂甲,Рукавички чистогнилі,,Перчатки чистой гнили,,
340300,Cleanrot Greaves,貴腐騎士の足甲,尊腐骑士腿甲,Поножі чистогнилі,,Поножи чистой гнили,,
341000,Cleanrot Helm (Altered),貴腐騎士の兜（軽装）,尊腐骑士头盔（轻装）,Шолом чистогнилі (змінений),,Шлем чистой гнили (измен.),,
341100,Cleanrot Armor (Altered),貴腐騎士の鎧（軽装）,尊腐骑士铠甲（轻装）,Панцир чистогнилі (змінений),,Доспех чистой гнили (измен.),,
350000,Fire Monk Hood,火の僧兵の兜,火焰习武修士头盔,Каптур вогняного монаха,,Шлем огненного монаха,,
350100,Fire Monk Armor,火の僧兵の鎧,火焰习武修士铠甲,Панцир вогняного монаха,,Доспех огненного монаха,,
350200,Fire Monk Gauntlets,火の僧兵の手甲,火焰习武修士臂甲,Рукавички вогняного монаха,,Перчатки огненного монаха,,
350300,Fire Monk Greaves,火の僧兵の足甲,火焰习武修士腿甲,Поножі вогняного монаха,,Поножи огненного монаха,,
351000,Blackflame Monk Hood,黒炎僧兵の兜,黑焰习武修士头盔,Каптур монаха чорного полум'я,,Капюшон монаха чёрного огня,,
351100,Blackflame Monk Armor,黒炎僧兵の鎧,黑焰习武修士铠甲,Панцир монаха чорного полум'я,,Доспех монаха чёрного пламени,,
351200,Blackflame Monk Gauntlets,黒炎僧兵の手甲,黑焰习武修士臂甲,Рукавички монаха чорного полум'я,,Перчатки монаха чёрного пламени,,
351300,Blackflame Monk Greaves,黒炎僧兵の足甲,黑焰习武修士腿甲,Поножі монаха чорного полум'я,,Поножи монаха чёрного пламени,,
360000,Fire Prelate Helm,火の司教の兜,火焰主教头盔,Шолом вогняного прелата,,Шлем прелата огня,,
360100,Fire Prelate Armor,火の司教の鎧,火焰主教铠甲,Панцир вогняного прелата,,Доспех прелата огня,,
360200,Fire Prelate Gauntlets,火の司教の手甲,火焰主教臂甲,Рукавички вогняного прелата,,Перчатки прелата огня,,
360300,Fire Prelate Greaves,火の司教の足甲,火焰主教腿甲,Поножі вогняного прелата,,Поножи прелата огня,,
361100,Fire Prelate Armor (Altered),火の司教の鎧（軽装）,火焰主教铠甲（轻装）,Панцир вогняного прелата (змінений),,Доспех огненного прелата (измен.),,
370000,Aristocrat Headband,貴人の頭環,权贵头带,Пов'язка аристократа,,Повязка аристократа,,
370100,Aristocrat Garb,貴人の服,权贵上衣,Вбрання аристократа,,Одеяние аристократа,,
370300,Aristocrat Boots,貴人のブーツ,权贵靴子,Чоботи аристократа,,Обувь аристократа,,
371100,Aristocrat Garb (Altered),貴人の服（軽装）,权贵上衣（轻装）,Вбрання аристократа (змінене),,Одеяние аристократа (измен.),,
380000,Aristocrat Hat,貴人の帽子,权贵帽子,Капелюх аристократа,,Шляпа аристократа,,
380100,Aristocrat Coat,貴人のコート,权贵大衣,Плащ аристократа,,Плащ аристократа,,
390000,Old Aristocrat Cowl,老貴人の頭巾,年迈权贵头巾,Шаперон старого аристократа,,Капюшон пожилого аристократа,,
390100,Old Aristocrat Gown,老貴人の長衣,年迈权贵长袍,Плаття старого аристократа,,Платье старого аристократа,,
390300,Old Aristocrat Shoes,老貴人の短靴,年迈权贵短靴,Черевики старого аристократа,,Обувь старого аристократа,,
420000,Vulgar Militia Helm,卑兵の兜,恶兵头盔,Шолом ополченця,,Шлем плебея-ополченца,,
420100,Vulgar Militia Armor,卑兵の鎧,恶兵铠甲,Панцир ополченця,,Доспех плебея-ополченца,,
420200,Vulgar Militia Gauntlets,卑兵の手甲,恶兵臂甲,Рукавички ополченця,,Перчатки плебея-ополченца,,
420300,Vulgar Militia Greaves,卑兵の足甲,恶兵腿甲,Поножі ополченця,,Поножи плебея-ополченца,,
430000,Sage Hood,賢者のフード,贤者风帽,Каптур мудреця,,Капюшон мудреца,,
430100,Sage Robe,賢者のローブ,贤者长袍,Мантія мудреця,,Одеяние мудреца,,
430300,Sage Trousers,賢者のズボン,贤者长裤,Штани мудреця,,Штаны мудреца,,
440000,Pumpkin Helm,かぼちゃ兜,南瓜头盔,Гарбузовий шолом,,Шлем Тыквоголового,,
460000,Elden Lord Crown,エルデ王の冠,艾尔登之王头冠,Корона володаря Елдена,,Корона повелителя Элдена,,
460100,Elden Lord Armor,エルデ王の鎧,艾尔登之王铠甲,Панцир володаря Елдена,,Доспех повелителя Элдена,,
460200,Elden Lord Bracers,エルデ王の手甲,艾尔登之王臂甲,Нарукавники володаря Елдена,,Наручи повелителя Элдена,,
460300,Elden Lord Greaves,エルデ王の足甲,艾尔登之王腿甲,Поножі володаря Елдена,,Поножи повелителя Элдена,,
461100,Elden Lord Armor (Altered),エルデ王の鎧（軽装）,艾尔登之王铠甲（轻装）,Панцир володаря Елдена (змінений),,Доспех повелителя Элдена (измен.),,
470000,Radahn's Redmane Helm,ラダーンの赤髪兜,拉塔恩红发头盔,Рудогривий шолом Радана,,Шлем Рыжей Гривы,,
470100,Radahn's Lion Armor,ラダーンの獅子鎧,拉塔恩狮子铠甲,Левовий панцир Радана,,Львиный доспех Радана,,
470200,Radahn's Gauntlets,ラダーンの手甲,拉塔恩臂甲,Рукавички Радана,,Наручи Радана,,
470300,Radahn's Greaves,ラダーンの足甲,拉塔恩腿甲,Поножі Радана,,Поножи Радана,,
471100,Radahn's Lion Armor (Altered),ラダーンの獅子鎧（軽装）,拉塔恩狮子铠甲（轻装）,Левовий панцир Радана (змінений),,Львиный доспех Радана (измен.),,
480100,Lord of Blood's Robe,血の君主の装束,鲜血君王上衣,Мантія Володаря крові,,Одеяние Повелителя Крови,,
481100,Lord of Blood's Robe (Altered),血の君主の装束（軽装）,鲜血君王上衣（轻装）,Мантія Володаря крові (змінена),,Одеяние Повелителя Крови (измен.),,
510000,Queen's Crescent Crown,女王の月冠,女王弯月冠,Півмісячна корона королеви,,Лунная корона королевы,,
510100,Queen's Robe,女王のローブ,女王长袍,Мантія королеви,,Одеяние королевы,,
510200,Queen's Bracelets,女王の腕輪,女王手环,Браслети королеви,,Нарукавники королевы,,
510300,Queen's Leggings,女王のズボン,女王长裤,Штани королеви,,Штаны королевы,,
520000,Godskin Apostle Hood,神肌の使徒フード,神皮使徒风帽,Каптур богошкірного апостола,,Капюшон апостола божественной кожи,,
520100,Godskin Apostle Robe,神肌の使徒ローブ,神皮使徒长袍,Мантія богошкірного апостола,,Одеяние апостола божественной кожи,,
520200,Godskin Apostle Bracelets,使徒の腕輪,使徒手环,Браслети богошкірного апостола,,Нарукавники апостола божественной кожи,,
520300,Godskin Apostle Trousers,使徒のズボン,使徒长裤,Штани богошкірного апостола,,Штаны апостола божественной кожи,,
530000,Godskin Noble Hood,神肌の貴種フード,神皮贵族风帽,Каптур богошкірного шляхтича,,Капюшон аристократа божественной кожи,,
530100,Godskin Noble Robe,神肌の貴種ローブ,神皮贵族长袍,Вбрання богошкірного шляхтича,,Одеяние аристократа божественной кожи,,
530200,Godskin Noble Bracelets,貴種の腕輪,贵族手环,Браслети богошкірного шляхтича,,Нарукавники апостола божественной кожи,,
530300,Godskin Noble Trousers,貴種のズボン,贵族长裤,Штани богошкірного шляхтича,,Штаны аристократа божественной кожи,,
540000,Depraved Perfumer Headscarf,堕落調香師の帽子,堕落调香师帽子,Шарф порочного парфумера,,Платок порочного парфюмера,,
540100,Depraved Perfumer Robe,堕落調香師のローブ,堕落调香师长袍,Вбрання порочного парфумера,,Одеяние порочного парфюмера,,
540200,Depraved Perfumer Gloves,堕落調香師の手袋,堕落调香师手套,Рукавички порочного парфумера,,Перчатки порочного парфюмера,,
