,Internal Name,Official Name,Included in NT?,Other Notes,説明 (日本語-japanese),描述 (中文-chinese),Описание (русский-russian),Beschreibung (deutsch-german),La description (français-french),Опис (українська-ukrainian),설명 (한국어-korean)
3600,LightWalker,,No,,,,,,,,
3610,MoonServant_tibi,,No,,,,,,,,
3620,MoonServant_noppo,,No,,,,,,,,
3630,MoonServant_debu,,No,,,,,,,,
3640,MoonServant_baby,,No,,,,,,,,
3650,BugsEater,,No,,,,,,,,
3660,RuneSlaveSword,,Yes,,,,,,,,
3661,RottenDead,,No,,,,,,,,
3664,TombShadow,,No,,,,,,,,
3665,Gatekeeper,,Yes,Gatekeeper NPC,,,,,,,
3670,WitheredLeg,,No,,,,,,,,
3700,PerfumerCourt,,No,,,,,,,,
3702,PyroxeneMagician,,No,,,,,,,,
3703,FootPage,,No,,,,,,,,
3704,MagicMercenary,,No,,,,,,,,
3710,CrystalMagician,,No,,,,,,,,
3730,Magicianball,,No,,,,,,,,
3750,RuneEater,,No,,,,,,,,
3800,KnightofNoblerot,,No,,,,,,,,
3810,RottenKin,,No,,,,,,,,
3850,BalloonDoll,,No,,,,,,,,
3860,WingDoll_DS,,No,,,,,,,,
3900,FirePriestSoldierMace,,No,,,,,,,,
3910,HeavypriestofGiantsfire,,No,,,,,,,,
3950,GhoulChildrenWhip,,No,,,,,,,,
3970,BeastProgeny,Beastman of Farum Azula,Yes,,,,,,,,
4000,NazgulVarlet,,No,,,,,,,,
4020,NazgulGrub,,No,,,,,,,,
4040,Namekuji,,Yes,,,,,,,,
4050,WarKingWarrior,,Yes,,,,,,,,
4060,WarKingWarriorHorse,,Yes,,,,,,,,
4070,Wolf,,Yes,Smaller wolf,,,,,,,
4071,N/A,,Yes,Wolf pack leader,,,,,,,
4080,FeralRat,,Yes,,,,,,,,
4090,FeralRatlarge,,No,,,,,,,,
4100,DemiHuman,,Yes,,,,,,,,
4101,DemiHuman_Elite,,Yes,,,,,,,,
4110,DemiHumanRunt,,Yes,,,,,,,,
4120,DemiHumanBerserk,Demi-Human Chief,Yes,,,,,,,,
4130,DemiHumanKing,,No,,,,,,,,
4140,SnakeSnail,,No,,,,,,,,
4150,Basilisk,,No,,,,,,,,
4160,FeralDog,,Yes,,,,,,,,
4161,FeralDogSmall,,Yes,,,,,,,,
4170,WriggleCarrion,,Yes,,,,,,,,
4180,Reikurage,,Yes,,,,,,,,
4190,ScarabLarge,,Yes,No chrbnd,,,,,,,
4191,Scarab,,Yes,,,,,,,,
4192,ScarabExtraLarge,,No,,,,,,,,
4200,Bat,,Yes,,,,,,,,
4201,OldwomanBat,,No,,,,,,,,
4210,StormHawk,,Yes,,,,,,,,
4220,GroundTaco,,Yes,Land octopus,,,,,,,
4230,GroundTacoJr,,Yes,Land octopus,,,,,,,
4240,FingerSpider,,No,,,,,,,,
4250,FingerSpiderJr,,No,,,,,,,,
4260,Watchdog,Burial Tree Watchdog,Yes,,,,,,,,
4270,OldLionOfArena,,Yes,Mini-boss in Stormveil courtyard,,,,,,,
4280,PodAnt,,No,,,,,,,,
4290,HoundDog,Bloodhound Knight Darriwil,Yes,,,,,,,,
4300,UncoverTombNobleMan,,Yes,,,,,,,,
4310,RoamArmy,,Yes,No chrbnd,,,,,,,
4311,RoamArmy,Soldier of Godrick,Yes,,,,,,,,
4320,RoamLowSoldier,,No,,,,,,,,
4321,RoamLowSoldierChild,,No,,,,,,,,
4340,PumpkinHead,Punpkin Head,Yes,,,,,,,,
4341,PumpkinHead,,No,,,,,,,,
4350,N/A,,Yes,No chrbnd,,,,,,,
4351,RoamKnightEZ,,Yes,,,,,,,,
4353,RoamKnightRC,,No,,,,,,,,
4354,RoamKnightPL,,No,,,,,,,,
4355,RoamKnightMP,,No,,,,,,,,
4356,RoamKnightMI,,No,,,,,,,,
4358,RoamKnightIN,,No,,,,,,,,
4361,RoamHorseEZ,,No,,,,,,,,
4370,RoamCommonSoldiers,,Yes,No chrbnd,,,,,,,
4371,N/A,,Yes,,,,,,,,
4380,Destructionsinto,,Yes,No chrbnd,,,,,,,
4381,DestructionsintoFire,,No,,,,,,,,
4382,DeadMinerOreDigging,,Yes,,,,,,,,
4383,DeadMinerJewelryCarving,,No,,,,,,,,
4384,DeadMinerJewelryCarvingBig,,No,,,,,,,,
4385,DestructionsintoPoison,,No,,,,,,,,
4410,HorseGiant,,No,,,,,,,,
4420,Zarigani,,No,,,,,,,,
4430,AliveStone,,Yes,,,,,,,,
4440,Rikuhoya,,Yes,,,,,,,,
4441,RikuhoyaBig,,No,,,,,,,,
4450,WalkShrine,,Yes,Unused - Giant turtle(?) with bell,,,,,,,
4460,Ganmen,,No,,,,,,,,
4470,KidnapMachine,,No,,,,,,,,
4480,RuneFlowerBig,,Yes,,,,,,,,
4481,RuneFlowerLittle,,Yes,,,,,,,,
4490,AlivePot,,No,,,,,,,,
4491,AlivePotSmall,,No,,,,,,,,
4492,AlivePotExtraLarge,,No,,,,,,,,
4500,Wyvern,Flying Dragon Agheel,Yes,,,,,,,,
4501,RotWyvern,,No,,,,,,,,
4502,MagicWyvern,,No,,,,,,,,
4503,IceWyvern,,No,,,,,,,,
4510,GuardianDescendant,,No,,,,,,,,
4520,ElderDragon,,No,,,,,,,,
4550,TyrannoDog,,No,,,,,,,,
4560,TyrannoRaven,,No,,,,,,,,
4570,Deracine_Male,,No,,,,,,,,
4580,Deracine_Female,,No,,,,,,,,
4600,Troll,,Yes,,,,,,,,
4601,Troll_RoyalKnight,,No,,,,,,,,
4602,Troll_Yeti,,No,,,,,,,,
4603,Troll_Mine,Stonedigger Troll,Yes,,,,,,,,
4610,Umibozu,,No,,,,,,,,
4620,Astile,,No,,,,,,,,
4630,RuneBear,,Yes,,,,,,,,
4640,SnakeSoul,Ulcerated Tree Spirit,No,Offcial name taken from FMG,,,,,,,
4650,Devastationer,,No,,,,,,,,
4660,Guardian,Guardian Golem,Yes,Official name taken from FMG,,,,,,,
4670,Ancestor,,No,,,,,,,,
4680,MeteoriteBeast,,No,,,,,,,,
4690,GraftSpider,,Yes,Screaming spider thing at the end of NT,,,,,,,
4710,KingGhoul,,No,,,,,,,,
4720,GodFrey,,No,,,,,,,,
4721,GodFrey,,No,,,,,,,,
4730,RadarnAndLeonard,,No,,,,,,,,
4750,GraftKing,,No,,,,,,,,
4751,N/A,,Yes,A flver of a upper torso and head?,,,,,,,
4760,Giant,,No,,,,,,,,
4770,CastleGargoyle,,No,,,,,,,,
4800,GreaterDemon,,No,,,,,,,,
4810,WorldTreeDemon,,No,,,,,,,,
4820,Slaughter,,No,,,,,,,,
4910,king_grounddragon,,No,,,,,,,,
4950,Nightking_Kennzoku,,No,,,,,,,,
4951,Nightking_Kennzoku,,No,,,,,,,,
4960,Nightking_Kennzoku_Skeleton,,No,,,,,,,,
4980,BirdoftheDeath,,Yes,,,,,,,,
6000,Bird,,Yes,,,,,,,,
6001,N/A,,Yes,,,,,,,,
6010,Deer,,Yes,,,,,,,,
6020,WildHorse,,No,,,,,,,,
6030,Bear,,Yes,,,,,,,,
6031,N/A,,Yes,,,,,,,,
6040,Wildowl,,Yes,,,,,,,,
6050,Wildboar,,Yes,,,,,,,,
6060,Wildsheep,,Yes,,,,,,,,
6070,Wildguillemots,,Yes,,,,,,,,
6071,CarrierPigeon,,Yes,No chrbnd,,,,,,,
6072,N/A,,Yes,,,,,,,,
6080,Wilddragonfly,,Yes,,,,,,,,
6081,N/A,,Yes,,,,,,,,
6090,Tortoises,,Yes,,,,,,,,
6100,Springhare,,Yes,,,,,,,,
7000,BuddyStandard,,N/A,,,,,,,,
7100,BuddyUnique,,N/A,,,,,,,,
8000,N/A,Torrent,Yes,Player mount,,,,,,,
8100,N/A,,Yes,Enemy controlled ballista (3 arrows),,,,,,,
8101,N/A,,Yes,Enemy controlled ballista (1 large arrow),,,,,,,
9000,VaristorTest,,N/A,,,,,,,,
9100,Skeleton,,N/A,,,,,,,,
9200,GHOST,,N/A,,,,,,,,
9055,PierreTest,,N/A,,,,,,,,
9800,katotTest,,N/A,,,,,,,,
9801,sawatTest,,N/A,,,,,,,,
