ID,NAME,REGION,Name (українська-ukrainian),Регіон (українська-ukrainian),Cheat Engine Dropdown 1,Cheat Engine Dropdown 2,説明 (日本語-japanese),描述 (中文-chinese),Описание (русский-russian),Beschreibung (deutsch-german),La description (français-french),Опис (українська-ukrainian),설명 (한국어-korean)
11102950,Table of Lost Grace,Roundtable Hold,Стіл втраченої благодаті,Цитадель Круглого столу,11102950:Table of Lost Grace (Roundtable Hold),11102950:Roundtable Hold - Table of Lost Grace,,,,,,,
12012950,Dragonkin Soldier of Nokstella,Ainsel River,Драконич-солдат із Нокстелли,Річка Ейнзель,12012950:Dragonkin Soldier of Nokstella (Ansel River),12012950:Ansel River - Dragonkin Soldier of Nokstella,,,,,,,
12012951,Ainsel River Well Depths,Ainsel River,Глибини річки Ейнзель,Річка Ейнзель,12012951:Ainsel River Well Depths (Ansel River),12012951:Ansel River - Ainsel River Well Depths,,,,,,,
12012952,Ainsel River Sluice Gate,Ainsel River,Шлюзові ворота річки Ейнзель,Річка Ейнзель,12012952:Ainsel River Sluice Gate (Ainsel River),12012952:Ainsel River - Ainsel River Sluice Gate,,,,,,,
12012953,Ainsel River Downstream,Ainsel River,Нижня течія річки Ейнзель,Річка Ейнзель,12012953:Ainsel River Downstream (Ainsel River),12012953:Ainsel River - Ainsel River Downstream,,,,,,,
12012954,Ainsel River Main,Ainsel River Main,Основний потік річки Ейнзель,Основний потік річки Ейнзель,12012954:Ainsel River Main (Ainsel River Main),12012954:Ainsel River Main - Ainsel River Main,,,,,,,
12012955,"Nokstella, Eternal City",Ainsel River Main,"Нокстелла, Споконвічне місто",Основний потік річки Ейнзель,"12012955:Nokstella, Eternal City (Ainsel River Main)","12012955:Ainsel River Main - Nokstella, Eternal City",,,,,,,
12012956,Lake of Rot Shoreside,Lake of Rot,Узбережжя озера гнилі,Озеро гнилі,12012956:Lake of Rot Shoreside (Lake of Rot),12012956:Lake of Rot - Lake of Rot Shoreside,,,,,,,
12012958,Grand Cloister,Lake of Rot,Велика галерея,Озеро гнилі,12012958:Grand Cloister (Lake of Rot),12012958:Lake of Rot - Grand Cloister,,,,,,,
12012959,Nokstella Waterfall Basin,Ainsel River Main,Басейн водоспаду Нокстелли,Основний потік річки Ейнзель,12012959:Nokstella Waterfall Basin (Ainsel River Main),12012959:Ainsel River Main - Nokstella Waterfall Basin,,,,,,,
12022950,Great Waterfall Basin,"Nokron, Eternal City",Басейн великого водоспаду,Акведук Сіофри,"12022950:Great Waterfall Basin (Nokron, Eternal City)","12022950:Nokron, Eternal City - Great Waterfall Basin",,,,,,,
12022951,Mimic Tear,"Nokron, Eternal City",Сльоза імітації,Акведук Сіофри,"12022951:Mimic Tear (Nokron, Eternal City)","12022951:Nokron, Eternal City - Mimic Tear",,,,,,,
12022953,Siofra River Bank,Siofra River,Набережна річки Сіофра,Річка Сіофра,12022953:Siofra River Bank (Siofra River),12022953:Siofra River - Siofra River Bank,,,,,,,
12022954,Worshippers' Woods,Siofra River,Ліс вірян,Річка Сіофра,12022954:Worshippers' Woods (Siofra River),12022954:Siofra River - Worshippers' Woods,,,,,,,
12022956,Ancestral Woods,"Nokron, Eternal City",Ліс предків,"Нокрон, Споконвічне місто","12022956:Ancestral Woods (Nokron, Eternal City)","12022956:Nokron, Eternal City - Ancestral Woods",,,,,,,
12022957,Aqueduct-Facing Cliffs,"Nokron, Eternal City",Скелі з краєвидом на акведук,"Нокрон, Споконвічне місто","12022957:Aqueduct-Facing Cliffs (Nokron, Eternal City)","12022957:Nokron, Eternal City - Aqueduct-Facing Cliffs",,,,,,,
12022958,Night's Sacred Ground,"Nokron, Eternal City",Священна земля Ночі,"Нокрон, Споконвічне місто","12022958:Night's Sacred Ground (Nokron, Eternal City)","12022958:Nokron, Eternal City - Night's Sacred Ground",,,,,,,
12022959,Below the Well,Siofra River,Під колодязем,Річка Сіофра,12022959:Below the Well (Siofra River),12022959:Siofra River - Below the Well,,,,,,,
12032950,Prince of Death's Throne,Deeproot Depths,Трон Принца смерті,Кореневі глибини,12032950:Prince of Death's Throne (Deeproot Depths),12032950:Deeproot Depths - Prince of Death's Throne,,,,,,,
12032951,Root-Facing Cliffs,Deeproot Depths,Скелі з краєвидом на коріння,Кореневі глибини,12032951:Root-Facing Cliffs (Deeproot Depths),12032951:Deeproot Depths - Root-Facing Cliffs,,,,,,,
12032952,Great Waterfall Crest,Deeproot Depths,Вершина великого водоспаду,Кореневі глибини,12032952:Great Waterfall Crest (Deeproot Depths),12032952:Deeproot Depths - Great Waterfall Crest,,,,,,,
12032953,Deeproot Depths,Deeproot Depths,Кореневі глибини,Кореневі глибини,12032953:Deeproot Depths (Deeproot Depths),12032953:Deeproot Depths - Deeproot Depths,,,,,,,
12032954,The Nameless Eternal City,Deeproot Depths,Безіменне Споконвічне місто,Кореневі глибини,12032954:The Nameless Eternal City (Deeproot Depths),12032954:Deeproot Depths - The Nameless Eternal City,,,,,,,
12032955,Across the Roots,Deeproot Depths,Повз коріння,Кореневі глибини,12032955:Across the Roots (Deeproot Depths),12032955:Deeproot Depths - Across the Roots,,,,,,,
12042950,"Astel, Naturalborn of the Void",Ainsel River,"Астель, Породження порожнечі",Річка Ейнзель,"12042950:Astel, Naturalborn of the Void (Ainsel River)","12042950:Ainsel River - Astel, Naturalborn of the Void",,,,,,,
12052950,Cocoon of the Empyrean,Moghwyn Palace,Емпірійський кокон,Палац Моґвинів,12052950:Cocoon of the Empyrean (Moghwyn Palace),12052950:Moghwyn Palace - Cocoon of the Empyrean,,,,,,,
12052951,Palace Approach Ledge-Road,Moghwyn Palace,Скеляста дорога до палацу,Палац Моґвинів,12052951:Palace Approach Ledge-Road (Moghwyn Palace),12052951:Moghwyn Palace - Palace Approach Ledge-Road,,,,,,,
12052952,Dynasty Mausoleum Entrance,Moghwyn Palace,Вхід до династійного мавзолею,Палац Моґвинів,12052952:Dynasty Mausoleum Entrance (Moghwyn Palace),12052952:Moghwyn Palace - Dynasty Mausoleum Entrance,,,,,,,
12052953,Dynasty Mausoleum Midpoint,Moghwyn Palace,Центр династійного мавзолею,Палац Моґвинів,12052953:Dynasty Mausoleum Midpoint (Moghwyn Palace),12052953:Moghwyn Palace - Dynasty Mausoleum Midpoint,,,,,,,
12072950,Siofra River Well Depths,Siofra River,Глибини річки Сіофра,Річка Сіофра,12072950:Siofra River Well Depths (Siofra River),12072950:Siofra River - Siofra River Well Depths,,,,,,,
12072951,"Nokron, Eternal City","Nokron, Eternal City","Нокрон, Споконвічне місто","Нокрон, Споконвічне місто","12072951:Nokron, Eternal City (Nokron, Eternal City)","12072951:Nokron, Eternal City - Nokron, Eternal City",,,,,,,
13002950,"Maliketh, the Black Blade",Crumbling Farum Azula,"Малікет, Чорний клинок",Занепалий Фарум Азула,"13002950:Maliketh, the Black Blade (Crumbling Farum Azula)","13002950:Crumbling Farum Azula - Maliketh, the Black Blade",,,,,,,
13002951,Dragonlord Placidusax,Crumbling Farum Azula,Володар драконів Пласидусакс,Занепалий Фарум Азула,13002951:Dragonlord Placidusax (Crumbling Farum Azula),13002951:Crumbling Farum Azula - Dragonlord Placidusax,,,,,,,
13002952,Dragon Temple Altar,Crumbling Farum Azula,Вівтар храму дракона,Занепалий Фарум Азула,13002952:Dragon Temple Altar (Crumbling Farum Azula),13002952:Crumbling Farum Azula - Dragon Temple Altar,,,,,,,
13002953,Crumbling Beast Grave,Crumbling Farum Azula,Занедбана могила звіра,Занепалий Фарум Азула,13002953:Crumbling Beast Grave (Crumbling Farum Azula),13002953:Crumbling Farum Azula - Crumbling Beast Grave,,,,,,,
13002954,Crumbling Beast Grave Depths,Crumbling Farum Azula,Глибини занедбаної могили звіра,Занепалий Фарум Азула,13002954:Crumbling Beast Grave Depths (Crumbling Farum Azula),13002954:Crumbling Farum Azula - Crumbling Beast Grave Depths,,,,,,,
13002955,Tempest-Facing Balcony,Crumbling Farum Azula,Тераса з краєвидом на шторм,Занепалий Фарум Азула,13002955:Tempest-Facing Balcony (Crumbling Farum Azula),13002955:Crumbling Farum Azula - Tempest-Facing Balcony,,,,,,,
13002956,Dragon Temple,Crumbling Farum Azula,Храм дракона,Занепалий Фарум Азула,13002956:Dragon Temple (Crumbling Farum Azula),13002956:Crumbling Farum Azula - Dragon Temple,,,,,,,
13002957,Dragon Temple Transept,Crumbling Farum Azula,Трансепт храму дракона,Занепалий Фарум Азула,13002957:Dragon Temple Transept (Crumbling Farum Azula),13002957:Crumbling Farum Azula - Dragon Temple Transept,,,,,,,
13002958,Dragon Temple Lift,Crumbling Farum Azula,Підйомник храму дракона,Занепалий Фарум Азула,13002958:Dragon Temple Lift (Crumbling Farum Azula),13002958:Crumbling Farum Azula - Dragon Temple Lift,,,,,,,
13002959,Dragon Temple Rooftop,Crumbling Farum Azula,Дах храму дракона,Занепалий Фарум Азула,13002959:Dragon Temple Rooftop (Crumbling Farum Azula),13002959:Crumbling Farum Azula - Dragon Temple Rooftop,,,,,,,
13002960,Beside the Great Bridge,Crumbling Farum Azula,Біля великого мосту,Занепалий Фарум Азула,13002960:Beside the Great Bridge (Crumbling Farum Azula),13002960:Crumbling Farum Azula - Beside the Great Bridge,,,,,,,
14002950,Raya Lucaria Grand Library,Academy of Raya Lucaria,Велика бібліотека Рая-Лукарії,Академія Рая-Лукарія,14002950:Raya Lucaria Grand Library (Academy of Raya Lucaria),14002950:Academy of Raya Lucaria - Raya Lucaria Grand Library,,,,,,,
14002951,Debate Parlour,Academy of Raya Lucaria,Зала дебатів,Академія Рая-Лукарія,14002951:Debate Parlour (Academy of Raya Lucaria),14002951:Academy of Raya Lucaria - Debate Parlour,,,,,,,
14002952,Church of the Cuckoo,Academy of Raya Lucaria,Церква зозулі,Академія Рая-Лукарія,14002952:Church of the Cuckoo (Academy of Raya Lucaria),14002952:Academy of Raya Lucaria - Church of the Cuckoo,,,,,,,
14002953,Schoolhouse Classroom,Academy of Raya Lucaria,Кімната в академії,Академія Рая-Лукарія,14002953:Schoolhouse Classroom (Academy of Raya Lucaria),14002953:Academy of Raya Lucaria - Schoolhouse Classroom,,,,,,,
15002950,"Malenia, Godess of Rot","Elphael, Brace of the Haligtree","Маленія, богиня гнилі","Ельфаель, Опора Святого дерева","15002950:Malenia, Godess of Rot (Elphael, Brace of the Haligtree)","15002950:Elphael, Brace of the Haligtree - Malenia, Godess of Rot",,,,,,,
15002951,Prayer Room,"Elphael, Brace of the Haligtree",Молитовня,"Ельфаель, Опора Святого дерева","15002951:Prayer Room (Elphael, Brace of the Haligtree)","15002951:Elphael, Brace of the Haligtree - Prayer Room",,,,,,,
15002952,Elphael Inner Wall,"Elphael, Brace of the Haligtree",Внутрішня стіна Ельфаеля,"Ельфаель, Опора Святого дерева","15002952:Elphael Inner Wall (Elphael, Brace of the Haligtree)","15002952:Elphael, Brace of the Haligtree - Elphael Inner Wall",,,,,,,
15002953,Drainage Channel,"Elphael, Brace of the Haligtree",Водовідвідний канал,"Ельфаель, Опора Святого дерева","15002953:Drainage Channel (Elphael, Brace of the Haligtree)","15002953:Elphael, Brace of the Haligtree - Drainage Channel",,,,,,,
15002954,Haligtree Roots,"Elphael, Brace of the Haligtree",Коріння Святого дерева,"Ельфаель, Опора Святого дерева","15002954:Haligtree Roots (Elphael, Brace of the Haligtree)","15002954:Elphael, Brace of the Haligtree - Haligtree Roots",,,,,,,
15002955,Haligtree Promenade,Miquella's Haligtree,Променад Святого дерева,Святе дерево Мікелли,15002955:Haligtree Promenade (Miquella's Haligtree),15002955:Miquella's Haligtree - Haligtree Promenade,,,,,,,
15002956,Haligtree Canopy,Miquella's Haligtree,Крона Святого дерева,Святе дерево Мікелли,15002956:Haligtree Canopy (Miquella's Haligtree),15002956:Miquella's Haligtree - Haligtree Canopy,,,,,,,
15002957,Haligtree Town,Miquella's Haligtree,Місто Святого дерева,Святе дерево Мікелли,15002957:Haligtree Town (Miquella's Haligtree),15002957:Miquella's Haligtree - Haligtree Town,,,,,,,
15002958,Haligtree Town Plaza,Miquella's Haligtree,Площа міста Святого дерева,Святе дерево Мікелли,15002958:Haligtree Town Plaza (Miquella's Haligtree),15002958:Miquella's Haligtree - Haligtree Town Plaza,,,,,,,
16002950,"Rykard, Lord of Blasphemy",Volcano Manor,"Рікард, Володар блюзнірства",Вулканічний маєток,"16002950:Rykard, Lord of Blasphemy (Volcano Manor)","16002950:Volcano Manor - Rykard, Lord of Blasphemy",,,,,,,
16002951,Temple of Eiglay,Volcano Manor,Храм Еґлі,Вулканічний маєток,16002951:Temple of Eiglay (Volcano Manor),16002951:Volcano Manor - Temple of Eiglay,,,,,,,
16002952,Volcano Manor,Volcano Manor,Вулканічний маєток,Вулканічний маєток,16002952:Volcano Manor (Volcano Manor),16002952:Volcano Manor - Volcano Manor,,,,,,,
16002953,Prison Town Church,Volcano Manor,Церква міста-в'язниці,Вулканічний маєток,16002953:Prison Town Church (Volcano Manor),16002953:Volcano Manor - Prison Town Church,,,,,,,
16002954,Guest Hall,Volcano Manor,Вітальня,Вулканічний маєток,16002954:Guest Hall (Volcano Manor),16002954:Volcano Manor - Guest Hall,,,,,,,
16002960,Audience Pathway,Volcano Manor,Шлях аудієнцій,Вулканічний маєток,16002960:Audience Pathway (Volcano Manor),16002960:Volcano Manor - Audience Pathway,,,,,,,
16002962,Abductor Virgin,Volcano Manor,Діва-викрадачка,Вулканічний маєток,16002962:Abductor Virgin (Volcano Manor),16002962:Volcano Manor - Abductor Virgin,,,,,,,
16002964,Subterranean Inquisition Chamber,Volcano Manor,Підземна кімната інквізиції,Вулканічний маєток,16002964:Subterranean Inquisition Chamber (Volcano Manor),16002964:Volcano Manor - Subterranean Inquisition Chamber,,,,,,,
18002950,Cave of Knowledge,Stranded Graveyard,Печера знань,Прибережний цвинтар,18002950:Cave of Knowledge (Stranded Graveyard),18002950:Stranded Graveyard - Cave of Knowledge,,,,,,,
18002951,Stranded Graveyard,Stranded Graveyard,Прибережний цвинтар,Прибережний цвинтар,18002951:Stranded Graveyard (Stranded Graveyard),18002951:Stranded Graveyard - Stranded Graveyard,,,,,,,
19002950,Fractured Marika,Stone Platform,Розбита Маріка,Кам'яна платформа,19002950:Fractured Marika (Stone Platform),19002950:Stone Platform - Fractured Marika,,,,,,,
30002950,Tombsward Catacombs,Weeping Peninsula,Катакомби гробниць,Півострів плачу,30002950:Tombsward Catacombs (Weeping Peninsula),30002950:Weeping Peninsula - Tombsward Catacombs,,,,,,,
30012950,Impaler's Catacombs,Weeping Peninsula,Катакомби проштрикувача,Півострів плачу,30012950:Impaler's Catacombs (Weeping Peninsula),30012950:Weeping Peninsula - Impaler's Catacombs,,,,,,,
30022950,Stormfoot Catacombs,Limgrave,Катакомби штормового підніжжя,Замогилля,30022950:Stormfoot Catacombs (Limgrave),30022950:Limgrave - Stormfoot Catacombs,,,,,,,
30032950,Road's End Catacombs,Liurnia of the Lakes,Катакомби в кінці дороги,Озерна Ліурнія,30032950:Road's End Catacombs (Liurnia of the Lakes),30032950:Liurnia of the Lakes - Road's End Catacombs,,,,,,,
30042950,Murkwater Catacombs,Limgrave,Катакомби каламутних вод,Замогилля,30042950:Murkwater Catacombs (Limgrave),30042950:Limgrave - Murkwater Catacombs,,,,,,,
30052950,Black Knife Catacombs,Liurnia of the Lakes,Катакомби Чорного ножа,Озерна Ліурнія,30052950:Black Knife Catacombs (Liurnia of the Lakes),30052950:Liurnia of the Lakes - Black Knife Catacombs,,,,,,,
30062950,Cliffbottom Catacombs,Liurnia of the Lakes,Катакомби біля підніжжя скелі,Озерна Ліурнія,30062950:Cliffbottom Catacombs (Liurnia of the Lakes),30062950:Liurnia of the Lakes - Cliffbottom Catacombs,,,,,,,
30072950,Wyndham Catacombs,Altus Plateau,Катакомби Віндгема,Плато Альтус,30072950:Wyndham Catacombs (Altus Plateau),30072950:Altus Plateau - Wyndham Catacombs,,,,,,,
30082950,Sainted Hero's Grave,Altus Plateau,Могила святого героя,Плато Альтус,30082950:Sainted Hero's Grave (Altus Plateau),30082950:Altus Plateau - Sainted Hero's Grave,,,,,,,
30092950,Gelmir Hero's Grave,Mt. Gelmir,Могила героя Ґельмір,Гора Ґельмір,30092950:Gelmir Hero's Grave (Mt. Gelmir),30092950:Mt. Gelmir - Gelmir Hero's Grave,,,,,,,
30102950,Auzira Hero's Grave,"Leyndell, Royal Capital",Могила героя Аурізи,Околиці столиці,"30102950:Auzira Hero's Grave (Leyndell, Royal Capital)","30102950:Leyndell, Royal Capital - Auzira Hero's Grave",,,,,,,
30112950,Deathtouched Catacombs,Limgrave,Прокляті смертю катакомби,Замогилля,30112950:Deathtouched Catacombs (Limgrave),30112950:Limgrave - Deathtouched Catacombs,,,,,,,
30122950,Unsightly Catacombs,Altus Plateau,Огидні катакомби,Плато Альтус,30122950:Unsightly Catacombs (Altus Plateau),30122950:Altus Plateau - Unsightly Catacombs,,,,,,,
30132950,Auriza Side Tomb,"Leyndell, Royal Capital",Бокова гробниця Аурізи,Околиці столиці,"30132950:Auriza Side Tomb (Leyndell, Royal Capital)","30132950:Leyndell, Royal Capital - Auriza Side Tomb",,,,,,,
30142950,Minor Eerdtree Catacombs,Caelid,Катакомби малого Золотого дерева,Кейлід,30142950:Minor Eerdtree Catacombs (Caelid),30142950:Caelid - Minor Eerdtree Catacombs,,,,,,,
30152950,Caelid Catacombs,Caelid,Катакомби Кейліда,Кейлід,30152950:Caelid Catacombs (Caelid),30152950:Caelid - Caelid Catacombs,,,,,,,
30162950,War-Dead Catacombs,Caelid,Катакомби полеглих воїнів,Кейлід,30162950:War-Dead Catacombs (Caelid),30162950:Caelid - War-Dead Catacombs,,,,,,,
30172950,Giant-Conquering Hero's Grave,Flame Peak,"Катакомби героя, переможця велетнів",Полум'яна вершина,30172950:Giant-Conquering Hero's Grave (Flame Peak),30172950:Flame Peak - Giant-Conquering Hero's Grave,,,,,,,
30182950,Giant's Mountaintop Catacombs,Flame Peak,Катакомби Гірських вершин велетнів,Полум'яна вершина,30182950:Giant's Mountaintop Catacombs (Flame Peak),30182950:Flame Peak - Giant's Mountaintop Catacombs,,,,,,,
30192950,Consecrated Snowfield Catacombs,Consecrated Snowfield,Катакомби у священній сніговий долині,Священна снігова долина,30192950:Consecrated Snowfield Catacombs (Consecrated Snowfield),30192950:Consecrated Snowfield - Consecrated Snowfield Catacombs,,,,,,,
30202950,Hidden Path to the Haligtree,Forbidden Lands,Таємний шлях до Святого дерева,Заборонені землі,30202950:Hidden Path to the Haligtree (Forbidden Lands),30202950:Forbidden Lands - Hidden Path to the Haligtree,,,,,,,
31002950,Murkwater Cave,Limgrave,Печера Каламутних вод,Замогилля,31002950:Murkwater Cave (Limgrave),31002950:Limgrave - Murkwater Cave,,,,,,,
31012950,Earthbore Cave,Weeping Peninsula,Видовбана печера,Півострів плачу,31012950:Earthbore Cave (Weeping Peninsula),31012950:Weeping Peninsula - Earthbore Cave,,,,,,,
31022950,Tombsward Cave,Weeping Peninsula,Печера гробниць,Півострів плачу,31022950:Tombsward Cave (Weeping Peninsula),31022950:Weeping Peninsula - Tombsward Cave,,,,,,,
31032950,Groveside Cave,Limgrave,Печера в гаю,Замогилля,31032950:Groveside Cave (Limgrave),31032950:Limgrave - Groveside Cave,,,,,,,
31042950,Stillwater Cave,Liurnia of the Lakes,Печера затхлих вод,Озерна Ліурнія,31042950:Stillwater Cave (Liurnia of the Lakes),31042950:Liurnia of the Lakes - Stillwater Cave,,,,,,,
31052950,Lakeside Crystal Cave,Liurnia of the Lakes,Кристалічна печера біля озера,Озерна Ліурнія,31052950:Lakeside Crystal Cave (Liurnia of the Lakes),31052950:Liurnia of the Lakes - Lakeside Crystal Cave,,,,,,,
31062950,Academy Crystal Cave,Liurnia of the Lakes,Кристалічна печера академії,Озерна Ліурнія,31062950:Academy Crystal Cave (Liurnia of the Lakes),31062950:Liurnia of the Lakes - Academy Crystal Cave,,,,,,,
31072950,Seethewater Cave,Mt. Gelmir,Печера гарячих джерел,Гора Ґельмір,31072950:Seethewater Cave (Mt. Gelmir),31072950:Mt. Gelmir - Seethewater Cave,,,,,,,
31092950,Volcano Cave,Mt. Gelmir,Вулканічна печера,Гора Ґельмір,31092950:Volcano Cave (Mt. Gelmir),31092950:Mt. Gelmir - Volcano Cave,,,,,,,
31102950,Dragonbarrow Cave,Greyoll's Dragonbarrow,Печера драконячого кургану,Драконячий курган Ґрейолли,31102950:Dragonbarrow Cave (Greyoll's Dragonbarrow),31102950:Greyoll's Dragonbarrow - Dragonbarrow Cave,,,,,,,
31112950,Sellia Hideaway,Greyoll's Dragonbarrow,Схованка в Селлії,Драконячий курган Ґрейолли,31112950:Sellia Hideaway (Greyoll's Dragonbarrow),31112950:Greyoll's Dragonbarrow - Sellia Hideaway,,,,,,,
31122950,Cave of the Forlorn,Consecrated Snowfield,Печера покинутих,Священна снігова долина,31122950:Cave of the Forlorn (Consecrated Snowfield),31122950:Consecrated Snowfield - Cave of the Forlorn,,,,,,,
31152950,Coastal Cave,Limgrave,Прибережна печера,Замогилля,31152950:Coastal Cave (Limgrave),31152950:Limgrave - Coastal Cave,,,,,,,
31172950,Highroad Cave,Limgrave,Печера при дорозі,Замогилля,31172950:Highroad Cave (Limgrave),31172950:Limgrave - Highroad Cave,,,,,,,
31182950,Perfumer's Grotto,Altus Plateau,Грот парфумера,Плато Альтус,31182950:Perfumer's Grotto (Altus Plateau),31182950:Altus Plateau - Perfumer's Grotto,,,,,,,
31192950,Sage's Cave,Altus Plateau,Печера мудреця,Плато Альтус,31192950:Sage's Cave (Altus Plateau),31192950:Altus Plateau - Sage's Cave,,,,,,,
31202950,Abandoned Cave,Caelid,Покинута печера,Кейлід,31202950:Abandoned Cave (Caelid),31202950:Caelid - Abandoned Cave,,,,,,,
31212950,Gaol Cave,Caelid,Печера-темниця,Кейлід,31212950:Gaol Cave (Caelid),31212950:Caelid - Gaol Cave,,,,,,,
31222950,Spiritcaller's Cave,Mountaintops of the Giants,Печера викликача духів,Гірські вершини велетнів,31222950:Spiritcaller's Cave (Mountaintops of the Giants),31222950:Mountaintops of the Giants - Spiritcaller's Cave,,,,,,,
32002950,Morne Tunnel,Weeping Peninsula,Тунель Морна,Півострів плачу,32002950:Morne Tunnel (Weeping Peninsula),32002950:Weeping Peninsula - Morne Tunnel,,,,,,,
32012950,Limgrave Tunnels,Limgrave,Тунелі Замогилля,Замогилля,32012950:Limgrave Tunnels (Limgrave),32012950:Limgrave - Limgrave Tunnels,,,,,,,
32022950,Raya Lucaria Crystal Tunnel,Liurnia of the Lakes,Кристалічний тунель Рая-Лукарії,Озерна Ліурнія,32022950:Raya Lucaria Crystal Tunnel (Liurnia of the Lakes),32022950:Liurnia of the Lakes - Raya Lucaria Crystal Tunnel,,,,,,,
32042950,Old Altus Tunnel,Altus Plateau,Старий тунель Альтус,Плато Альтус,32042950:Old Altus Tunnel (Altus Plateau),32042950:Altus Plateau - Old Altus Tunnel,,,,,,,
32052950,Altus Tunnel,Altus Plateau,Тунель Альтус,Плато Альтус,32052950:Altus Tunnel (Altus Plateau),32052950:Altus Plateau - Altus Tunnel,,,,,,,
32072950,Gael Tunnel,Caelid,Тунель Ґаель,Кейлід,32072950:Gael Tunnel (Caelid),32072950:Caelid - Gael Tunnel,,,,,,,
32072951,Rear Gael Tunnel Entrance,Caelid,Чорний хід до тунелю Ґаель,Кейлід,32072951:Rear Gael Tunnel Entrance (Caelid),32072951:Caelid - Rear Gael Tunnel Entrance,,,,,,,
32082950,Sellia Crystal Tunnel,Caelid,Кристалічний тунель Селлії,Кейлід,32082950:Sellia Crystal Tunnel (Caelid),32082950:Caelid - Sellia Crystal Tunnel,,,,,,,
32112950,Yelough Anix Tunnel,Consecrated Snowfield,Тунель жовтого анікса,Священна снігова долина,32112950:Yelough Anix Tunnel (Cosecrated Snowfield),32112950:Cosecrated Snowfield - Yelough Anix Tunnel,,,,,,,
34102950,Limgrave Tower Bridge,Stormhill,Місто до вежі Замогилля,Штормовий пагорб,34102950:Limgrave Tower Bridge (Stormhill),34102950:Stormhill - Limgrave Tower Bridge,,,,,,,
