c-Zei,Weapon Name,Skill Name,behaviorVariationId,swordArtsParamId,swordArtsId,,,,,,,,,,,,,,,
,Giant's Red Braid,Flame Dance,2006,1045,168427986,,,,,,,,,,,,,,,
Fist,,,,,,,,,,,,,,,,,,,,
,Grafted dragon,Bear Witness,2106,1011,336855928,,,,,,,,,,,,,,,
,Cipher Pata,UnBlockable Blade,2113,1191,151585500,,,,,,,,,,,,,,,
,Veteran's Prosthesis,Storm Kick,2112,1190,202113756,,,,,,,,,,,,,,,
Straight Swords,,,,,,,,,,,,,,,,,,,,
,Golden Epitaph,Last Rites,207,1053,252641812,,,,,,,,,,,,,,,
,Lazuli Glintstone Sword,Glintstone Pebble,202,203,252641812,,,,,,,,,,,,,,,
,Sword of Night and Flame,Night-and-Flame Stance,214,1019,252641812,,,,,,,,,,,,,,,
,Sword of St Trina,Mists of Slumber,205,1023,235799060,,,,,,,,,,,,,,,
,Ornamental straight sword,Golden Tempering,211,1052,235799060,,,,,,,,,,,,,,,
,Regalia of eochaid,Eochaid's Dancing Blade,215,1055,269484564,,,,,,,,,,,,,,,
,Coded Sword,UnBlockable Blade,204,1054,218956308,,,,,,,,,,,,,,,
,Frozen Needle,Thrusting Sword,501,101,168428082,,,,,,,,,,,,,,,
,Bloody Helice,Dynast's Finesse,602,1171,286327356,,,,,,,,,,,,,,,
,Dragon King's Cragblade,Thundercloud Form,601,1026,286327356,,,,,,,,,,,,,,,
,Gargoyle's Blackblade,Corpse Wax Cutter,311,1167,370541086,,,,,,,,,,,,,,,
,Marais Executioner's Sword,Eochaid's Dancing Blade,315,1012,370541086,,,,,,,,,,,,,,,
,Sword of Milos,Shriek of Milos,302,1015,353698334,,,,,,,,,,,,,,,
,Dark Moon Greatsword,Moonlight Greatsword,301,1008,353698334,,,,,,,,,,,,,,,
,Blasphemous blade,Taker’s Flames,314,1014,404226590,,,,,,,,,,,,,,,
,Alabaster Lord's Sword,Alabaster Lord's Pull,303,1040,320012830,,,,,,,,,,,,,,,
,Ordovis's Greatsword,Ordovis's vortex,306,1198,370541086,,,,,,,,,,,,,,,
,Golden Order Greatsword,Establishing Order,317,1022,336855582,,,,,,,,,,,,,,,
,Sacred relic sword,Wave of Gold,310,1020,336855582,,,,,,,,,,,,,,,
,Helphen's Steeple,Ruinous Ghostflame,319,1021,370541086,,,,,,,,,,,,,,,
,Death's Poker,Ghostflame Ignition,309,1048,320012830,,,,,,,,,,,,,,,
,Royal Greatsword,Wolf's Assault,406,1025,437912104,,,,,,,,,,,,,,,
Colossal,,,,,,,,,,,,,,,,,,,,
,Maliketh's Black Blade,Destined Death,408,1038,45475456,,,,,,,,,,,,,,,
,Starscourge Greatsword,Starcaller Cry ,405,1032,437912104,,,,,,,,,,,,,,,
,Godslayer's Greatsword,The Queen's Black Flame,404,1170,370541096,,,,,,,,,,,,,,,
,Ruins GreatSword,Wave of Destruction,403,1033,471597608,,,,,,,,,,,,,,,
,Grafted Blade Greatsword,Oath of Vengeance,407,1042,437912104,,,,,,,,,,,,,,,
Curved Swords,,,,,,,,,,,,,,,,,,,,
,Eclipse Shotel,Death Flare,710,1174,168427590,,,,,,,,,,,,,,,
,Nox Flowing Sword,Flowing Form,702,1018,168427590,,,,,,,,,,,,,,,
,Magma Blade,Magma Shower,703,1172,185270342,,,,,,,,,,,,,,,
,Onyx Lord's Greatsword,Onyx Lords Repulsion,805,1041,353697872,,,,,,,,,,,,,,,
,Bloodhound's Fang,Bloodhound's Finesse,804,1175,353697872,,,,,,,,,,,,,,,
,Magma Wyrm's Scalesword,Magma Guillotine,803,1176,404226128,,,,,,,,,,,,,,,
,Zamor Curved Sword,Zamor Ice Storm,1168,1168,320012368,,,,,,,,,,,,,,,
,Morgott's Cursed Sword,Cursed-Blood Slice,810,1027,286326864,,,,,,,,,,,,,,,
Daggers,,,,,,,,,,,,,,,,,,,,
,Black Knife,Blade of Death,101,1036,168428042,,,,,,,,,,,,,,,
,Blade of calling,Blade of Gold,116,1037,168428042,,,,,,,,,,,,,,,
,Reduvia,Blood Blade,104,1016,185270794,,,,,,,,,,,,,,,
,Glintstone Kriis,Glintstone Dart,107,1017,168428042,,,,,,,,,,,,,,,
Katanas,,,,,,,,,,,,,,,,,,,,
,Hand of Malenia ,WaterFowl Dance,902,1028,269484634,,,,,,,,,,,,,,,
,Rivers of Blood,Corpse Piler,906.0,1177,252641882,,,,,,,,,,,,\,,q,"ANM,/-+"
,Moonveil,Transient Moonlight,905,1178,252641882,,,,,,,,,,,,,,,
,Dragonscale Blade,Ice Lightning Sword,910,1043,252641882,,,,,,,,,,,,,,,
Colossal,,,,,,,,,,,,,,,,,,,,
,Watchdog's Staff,Sorcery of the Crozier,2301,1192,421069216,,,,,,,,,,,,,,,
,Axe of Godfrey,Regal Roar,2395,1031,421069728,,,,,,,,,,,,,,,
,Staff of the Avatar,Erdtree Slam ,2307,1193,437911968,,,,,,,,,,,,,,,
,Rotten Staff,Erdtree Slam ,2307,1193,421069216,,,,,,,,,,,,,,,
,Fallingstar Beast Jaw,Gravity Bolt,2308,1024,421069216,,,,,,,,,,,,,,,
,Ghiza's Wheel,Spinning Wheel,2309,1039,404226976,,,,,,,,,,,,,,,
Bow,,,,,,,,,,,,,,,,,,,,
,Lion GreatBow,Radahn's Rain,4201,1169,30,,,,,,,,,,,,,,,
Shoots burst,,,,,,,,,,,,,,,,,,,,
,Pulley Crossbow,,4300,503,40,,,,,,,,,,,,,,,
Torch,,,,,,,,,,,,,,,,,,,,
,	St Trina's Torch,Fires of Slumber,2404,1195,252641546,,,,,,,,,,,,,,,
,Steel-wire torch,firebreather ,2400,223,252641546,,,,,,,,,,,,,,,
Parry,,,,,,,,,,,,,,,,,,,,
,buckler,buckler parry,3000,303,320012564,,,,,,,,,,,,,,,
Shields,,,,,,,,,,,,,,,,,,,,
,One-Eyed Shield,Flame Spit,3215,1001,572653864,,,,,,,,,,,,,,,
,Visage Shield,Tongues of Fire,3216,1002,623182120,,,,,,,,,,,,,,,
,	Coil Shield,Viper Bite,3020,1007,320012564,,,,,,,,,,,,,,,
, Jellyfish Shield,Contagious Fury,3200,1197,404226344,,,,,,,,,,,,,,,
,Erdtree Greatshield,Golden Retaliation,3208,1196,471597352,,,,,,,,,,,,,,,
Ashes of War,,,not needed,swordArtsParamId,not needed ,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Lion's Claw,/////////////////////////////////////,100,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Impaling Thrust,/////////////////////////////////////,101,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Piercing Fang,/////////////////////////////////////,102,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Spinning Slash,/////////////////////////////////////,103,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Charge Forth,/////////////////////////////////////,105,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Stamp (Upward Cut),/////////////////////////////////////,106,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Stamp (Sweep),/////////////////////////////////////,107,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Blood Tax,/////////////////////////////////////,108,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Repeating Thrust,/////////////////////////////////////,109,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Wild Strikes,/////////////////////////////////////,110,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Spinning Strikes,/////////////////////////////////////,111,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Double Slash,/////////////////////////////////////,112,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Prelate's Charge,/////////////////////////////////////,113,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Unsheathe,/////////////////////////////////////,114,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Square Off,/////////////////////////////////////,115,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Giant Hunt,/////////////////////////////////////,116,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Loretta's Slash,/////////////////////////////////////,118,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Poison Moth Flight,/////////////////////////////////////,119,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Spinning Weapon,/////////////////////////////////////,120,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Storm Assault,/////////////////////////////////////,122,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Stormcaller,/////////////////////////////////////,123,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Sword Dance,/////////////////////////////////////,124,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Glintblade Phalanx,/////////////////////////////////////,200,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Sacred Blade,/////////////////////////////////////,201,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Ice Spear,/////////////////////////////////////,202,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Glintstone Pebble,/////////////////////////////////////,203,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Bloody Slash,/////////////////////////////////////,204,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Lifesteal Fist,/////////////////////////////////////,205,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Eruption,/////////////////////////////////////,207,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Prayerful Strike,/////////////////////////////////////,208,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Gravitas,/////////////////////////////////////,209,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Storm Blade,/////////////////////////////////////,210,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Earthshaker,/////////////////////////////////////,212,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Golden Land,/////////////////////////////////////,213,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Flaming Strike,/////////////////////////////////////,214,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Thunderbolt,/////////////////////////////////////,216,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Lightning Slash,/////////////////////////////////////,217,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Carian Grandeur,/////////////////////////////////////,218,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Carian Greatsword,/////////////////////////////////////,219,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Vacuum Slice,/////////////////////////////////////,220,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Black Flame Tornado,/////////////////////////////////////,221,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Sacred Ring of Light,/////////////////////////////////////,222,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Blood Blade,/////////////////////////////////////,224,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Phantom Slash,/////////////////////////////////////,225,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Spectral Lance,/////////////////////////////////////,226,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Chilling Mist,/////////////////////////////////////,227,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Poisonous Mist,/////////////////////////////////////,228,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Shield Bash,/////////////////////////////////////,300,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Barricade Shield,/////////////////////////////////////,301,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Parry,/////////////////////////////////////,302,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Carian Retaliation,/////////////////////////////////////,305,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Storm Wall,/////////////////////////////////////,306,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Golden Parry,/////////////////////////////////////,307,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Shield Crash,/////////////////////////////////////,308,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,No Skill,/////////////////////////////////////,309,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Thops's Barrier,/////////////////////////////////////,310,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Through and Through,/////////////////////////////////////,400,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Barrage,/////////////////////////////////////,401,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Mighty Shot,/////////////////////////////////////,402,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Enchanted Shot,/////////////////////////////////////,404,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Sky Shot,/////////////////////////////////////,405,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Rain of Arrows,/////////////////////////////////////,406,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Hoarfrost Stomp,/////////////////////////////////////,501,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Storm Stomp,/////////////////////////////////////,502,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Kick,/////////////////////////////////////,503,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Lightning Ram,/////////////////////////////////////,504,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Flame of the Redmanes,/////////////////////////////////////,505,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Ground Slam,/////////////////////////////////////,506,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Golden Slam,/////////////////////////////////////,507,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Waves of Darkness,/////////////////////////////////////,508,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Hoarah Loux's Earthshaker,/////////////////////////////////////,509,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Determination,/////////////////////////////////////,600,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Royal Knight's Resolve,/////////////////////////////////////,601,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Assassin's Gambit,/////////////////////////////////////,602,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Golden Vow,/////////////////////////////////////,603,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Sacred Order,/////////////////////////////////////,604,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Shared Order,/////////////////////////////////////,605,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Seppuku,/////////////////////////////////////,606,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Cragblade,/////////////////////////////////////,607,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Barbaric Roar,/////////////////////////////////////,650,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,War Cry,/////////////////////////////////////,651,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Beast's Roar,/////////////////////////////////////,652,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Troll's Roar,/////////////////////////////////////,653,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Braggart's Roar,/////////////////////////////////////,654,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Endure,/////////////////////////////////////,700,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Vow of the Indomitable,/////////////////////////////////////,701,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Holy Ground,/////////////////////////////////////,702,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Quickstep,/////////////////////////////////////,800,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Bloodhound's Step,/////////////////////////////////////,801,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,Raptor of the Mists,/////////////////////////////////////,802,//////////////////////////////////,,,,,,,,,,,,,,,
,//////////////////////////////////////////,White Shadow's Lure,/////////////////////////////////////,850,//////////////////////////////////,,,,,,,,,,,,,,,
