Param ID,English,Chinese,German,Arabic
59000000,Man-Fly,,,
59000091,Man-Fly,,,
59000100,Man-Fly,,,
59000191,Man-Fly,,,
50600000,Lamprey,,,
50600083,Lamprey,,,
50600593,Lamprey,,,
50600800,Lamprey,,,
50600883,Lamprey,,,
50610000,Lamprey - Sniper,,,
50610893,Lamprey - Sniper,,,
58300000,Messmer Soldier,,,
58300098,Messmer Soldier,,,
58300180,Messmer Soldier,,,
58300290,Messmer Soldier,,,
58300300,Messmer Soldier,,,
58300390,Messmer Soldier,,,
58300500,Messmer Soldier,,,
58300598,Messmer Soldier,,,
58300600,Messmer Soldier,,,
58300698,Messmer Soldier,,,
56510000,Messmer Foot Soldier,,,
56510081,Messmer Foot Soldier,,,
58400000,Black Knight,,,
58400080,Black Knight,,,
58400090,Black Knight,,,
58400098,Black Knight,,,
58400100,Black Knight,,,
58400190,Black Knight,,,
58400195,Black Knight,,,
58400198,Black Knight,,,
58400300,Black Knight,,,
58400390,Black Knight,,,
58400398,Black Knight,,,
51600000,Fire Knight,,,
51600098,Fire Knight,,,
51601000,Fire Knight,,,
51601099,Fire Knight,,,
51600100,Fire Knight,,,
51600199,Fire Knight,,,
51602299,Fire Knight,,,
51602198,Fire Knight,,,
52800000,Aging Untouchable,,,
52800086,Aging Untouchable,,,
52700000,Jar Innard,,,
52700184,Jar Innard,,,
52700298,Jar Innard,,,
52710098,Jar Innard 2,,,
53701000,Ancient Dragon - DLC,,,
53701185,Ancient Dragon - DLC,,,
58600000,Death Dragon,,,
58600080,Death Dragon,,,
58600090,Death Dragon,,,
51700000,Furnace Golem,,,
51700080,Furnace Golem,,,
51700090,Furnace Golem,,,
51700091,Furnace Golem,,,
51701084,Furnace Golem,,,
51702094,Furnace Golem,,,
55800000,Jagged Peak Drake,,,
55800085,Jagged Peak Drake,,,
55800985,Jagged Peak Drake,,,
57404000,Kindred of Rot - DLC,,,
57404094,Kindred of Rot - DLC,,,
52500000,Horned Warrior,,,
52500094,Horned Warrior,,,
52500095,Horned Warrior,,,
52501000,Horned Warrior,,,
52501086,Horned Warrior,,,
52501094,Horned Warrior,,,
52501189,Horned Warrior,,,
52501289,Horned Warrior,,,
52501389,Horned Warrior,,,
52501489,Horned Warrior,,,
52500100,Divine Bird Warrior,,,
52500189,Divine Bird Warrior,,,
52600000,Golem Smith,,,
52600081,Golem Smith,,,
52601095,Golem Smith,,,
52602095,Golem Smith,,,
52602295,Golem Smith,,,
63101000,Fallingstar Beast - DLC,,,
63101093,Fallingstar Beast - DLC,,,
59600000,Ulcerated Tree - DLC,,,
59600098,Ulcerated Tree - DLC,,,
53120000,"Jori, Elder Inquisitor",,,
53120086,"Jori, Elder Inquisitor",,,
53110000,Inquisitor,,,
53110086,Inquisitor,,,
53110586,Inquisitor,,,
53111000,Inquisitor,,,
53111086,Inquisitor,,,
53111286,Inquisitor,,,
58100000,Demi-Human Swordsman,,,
58108083,Demi-Human Swordsman,,,
57300000,Demi-Human Queen Marigga,,,
57300083,Demi-Human Queen Marigga,,,
58100000,Swordmaster Onze,,,
58100980,Swordmaster Onze,,,
56200000,Tibia Mariner - DLC,,,
56200084,Tibia Mariner - DLC,,,
62600000,Death Rite Bird - DLC,,,
62601084,Death Rite Bird - DLC,,,
50400000,Curseblade,,,
50400080,Curseblade,,,
50400089,Curseblade,,,
50400090,Curseblade,,,
50400091,Curseblade,,,
50400494,Curseblade,,,
50900000,Gravebird,,,
50900084,Gravebird,,,
50900389,Divine Bird,,,
52410000,Black Ghost,,,
52410088,Black Ghost,,,
58700000,Bigmouth Imp,,,
58700091,Bigmouth Imp,,,
58700191,Bigmouth Imp,,,
58700291,Bigmouth Imp,,,
58700391,Bigmouth Imp,,,
58700481,Bigmouth Imp,,,
58700491,Bigmouth Imp,,,
58710000,Bigmouth Cannon,,,
58710095,Bigmouth Cannon,,,
58720000,Bigmouth Cannon 2,,,
58727091,Bigmouth Cannon 2,,,
58800000,Catacombs Sorcerer,,,
58800095,Catacombs Sorcerer,,,
58800191,Catacombs Sorcerer,,,
58800281,Catacombs Sorcerer,,,
53500000,Basilisk Orb,,,
53500100,Basilisk Orb,,,
50800081,Bloodfiend,,,
50800087,Bloodfiend,,,
50800490,Bloodfiend,,,
50801081,Bloodfiend,,,
50801490,Bloodfiend,,,
50802190,Bloodfiend,,,
50803087,Bloodfiend,,,
50804087,Bloodfiend,,,
50810000,Chief Bloodfiend,,,
50810990,Chief Bloodfiend,,,
55210000,Messmerfire Dog,,,
55210090,Messmerfire Dog,,,
524270084,Lamenter,,,
158300000,[Spirit Summon] Messmer Soldier,,,
158301000,[Spirit Summon] Messmer Soldier,,,
153110000,[Spirit Summon] Inquisitor,,,
153110100,[Spirit Summon] Inquisitor,,,
159000000,[Spirit Summon] Man-Fly,,,
159000100,[Spirit Summon] Man-Fly,,,
151940000,[Spirit Summon] Spider Scorpion,,,
155600000,[Spirit Summon] Fingercreeper,,,
150900000,[Spirit Summon] Gravebird,,,
150800000,[Spirit Summon] Bloodfiend Hexer,,,
158700000,[Spirit Summon] Bigmouth Imp,,,
152501000,[Spirit Summon] Horned Warrior,,,
158400500,[Spirit Summon] Black Knight Huw,,,
158400000,[Spirit Summon] Black Knight Andreas,,,
151600000,[Spirit Summon] Fire Knight Hilde,,,
150000002,[Spirit Summon] Fire Knight Queelign,,,
150400000,[Spirit Summon] Curseblade Meera,,,
150000003,[Spirit Summon] Swordhand Jolan,,,
150000004,[Spirit Summon] Jolan And Anna,,,
150000005,[Spirit Summon] Jolan And Anna,,,
152610000,[Spirit Summon] Taylew,,,
150000000,[Spirit Summon] Florissax,,,
152500000,[Spirit Summon] Ornis,,,
158100000,[Spirit Summon] Swordsman Yosh,,,
