ID,English,Japanese,Chinese,German,Spanish,Russian,Arabic,Korean
2001500,Drawstring Messmerfire Grease,紐付きメスメルの火脂,附绳梅瑟莫火油脂,Messmerfeuerfett mit Kordel,Grasa de fuego de Messmer con cordel,Огненная смазка Мессмера с нитью,ﺷﺣﻡ ﻧﺎر ﻣﻳﺳﻣﺭ اﻟﻣﺯود ﺑﺭﺑﺎط,끈 달린 메스메르의 불기름
2001510,Drawstring Dragonbolt Grease,紐付き竜雷脂,附绳龙雷油脂,Drachenblitzfett mit Kordel,Grasa de rayo de dragón con cordel,Смазка драконьего грома с нитью,ﺷﺣﻡ ﺻﺎﻋﻘﺔ اﻟﺗﻧﻳﻥ اﻟﻣﺯود ﺑﺭﺑﺎط,끈 달린 용뢰기름
2001520,Drawstring Royal Magic Grease,紐付き王家の魔力脂,附绳王室魔力油脂,Königliches Magiefett mit Kordel,Grasa mágica real con cordel,Королевская магическая смазка с нитью,ﺷﺣﻡ اﻟﺳﺣﺭ اﻟﻣﻠﻛﻲ اﻟﻣﺯود ﺑﺭﺑﺎط,끈 달린 왕가의 마력 기름
2001530,Drawstring Golden Grease,紐付き黄金脂,附绳黄金油脂,Goldfett mit Kordel,Grasa dorada con cordel,Золотая смазка с нитью,اﻟﺷﺣﻡ اﻟﺫﻫﺑﻲ اﻟﻣﺯود ﺑﺭﺑﺎط,끈 달린 황금기름
2001550,Drawstring Eternal Sleep Grease,紐付き永眠脂,附绳永眠油脂,Ewiges Schlaffett mit Kordel,Grasa de sueño eterno con cordel,Смазка вечного сна с нитью,ﺷﺣﻡ اﻟﻧﻭم اﻷﺑﺩي اﻟﻣﺯود ﺑﺭﺑﺎط,끈 달린 영면기름
2001600,Festive Grease,祝祭脂,庆典油脂,Festliches Fett,Grasa festiva,Церемониальная смазка,اﻟﺷﺣﻡ اﻻﺣﺗﻔﺎﻟﻲ,축제기름
2001700,Innard Meat,中身肉,内容物肉块,Innereienfleisch,Carne de entrañas,Нутряное мясо,ﻟﺣﻡ اﻷﺣﺷﺎء,내용물이 된 살
2001710,Dragon Communion Harpoon,竜餐の銛,龙飨鱼叉,Harpune der Drachenkommunion,Arpón de la Comunión del Dragón,Гарпун драконьего причастия,ﺣﺭﺑﺔ ﻗﺭﺑﺎن اﻟﺗﻧﻳﻥ,용찬의 작살
2002000,Polter Stone,人鳴り石,人声石,Resonanzstein,Piedra polter,Камень шумного духа,ﺣﺟﺭ ﺑﻭﻟﺗﺭ,사람소리 돌
2002010,Rock Heart,岩の心臓,岩石心脏,Steinherz,Corazón de piedra,Каменное сердце,ﻗﻠﺏ اﻟﺻﺧﺭ,바위 심장
2002020,Priestess Heart,巫女の心臓,女巫心脏,Priesterinnenherz,Corazón de sacerdotisa,Сердце жрицы,ﻗﻠﺏ اﻟﻛﺎﻫﻧﺔ,무녀의 심장
2002030,Lamenter's Mask,嘆き人の仮面,喟叹者面具,Maske des Klägers,Máscara del lamentante,Маска плакальщика,ﻗﻧﺎع ﻻﻣﻳﻧﺗﺭ,한탄하는 사람의 가면
2002100,Ancient Dragon's Blessing,古竜の恩寵,古龙恩泽,Segen des uralten Drachen,Bendición del dragón antiguo,Благослов. древнего дракона,ﻣﺑﺎرﻛﺔ اﻟﺗﻧﻳﻥ اﻟﻌﺭﻳﻖ,고룡의 은총
2002120,Iris of Grace,祝福の瞳膜,赐福覆眼膜,Iris der Gnade,Iris de gracia,Радужка благодати,ﻗﺯﺣﻳﺔ اﻟﻧﻌﻣﺔ,축복의 눈동자막
2002130,Iris of Occultation,暗闇の瞳膜,黑暗覆眼膜,Iris der Verfinsterung,Iris de ocultamiento,Радужка тьмы,ﻗﺯﺣﻳﺔ اﻻﺳﺗﺗﺎر,어둠의 눈동자막
2002140,Thiollier's Concoction,ティエリエの秘薬,休里耶的秘药,Thiolliers Arznei,Brebaje de Thiollier,Снадобье Тиолье,ﺗﺭﻳﺎق ﺛﻳﻭﻟﻳﻳﻪ,티에리에의 비약
2002150,"Prattling Pate ""Lamentation""",呼び声頭「嘆き」,唤声泥颅“喟叹”,"Redekopf: ""Wehklagen""","Mollera parlante: ""Lamento""",Говорящая голова «Всхлипы»,"اﻟﺭأس اﻟﻣﺛﺭﺛﺭ ""اﻟﺭﺛﺎء""","말하는 머리 ""한탄"""
2002900,Remembrance of the Wild Boar Rider,猪乗りの追憶,山猪骑士的追忆,Echo des Wildschweinreiters,Recuerdo del Jinete de Jabalíes,Воспоминание о всаднике на кабане,ذﻛﺭى راﻛﺏ اﻟﺧﻧﺯﻳﺭ اﻟﺑﺭي,멧돼지 탄 자의 추억
2002901,Remembrance of the Impaler,串刺し公の追憶,穿刺者的追忆,Echo des Pfählers,Recuerdo del Empalador,Воспоминание о Колосажателе,ذﻛﺭى اﻟﻣﺛﻘﻭب,가시공의 추억
2002902,Remembrance of the Shadow Sunflower,影輪草の追憶,影轮草的追忆,Echo der Schattensonnenblume,Recuerdo del Girasol Sombrío,Воспоминание о теневом подсолнухе,ذﻛﺭى زﻫﺭة دوار اﻟﺷﻣﺱ اﻟﻣﻌﺗﻣﺔ,영륜초의 추억
2002903,Remembrance of the Twin Moon Knight,双月の騎士の追憶,双月骑士的追忆,Echo der Zwillings-Mondritterin,Recuerdo de la Caballera de las Lunas Gemelas,Воспоминание о рыцаре Двойной Луны,ذﻛﺭى ﻓﺎرﺳﺔ ﺗﻭأم اﻟﻘﻣﺭ,쌍월의 기사의 추억
2002904,Remembrance of the Saint of the Bud,蕾の聖女の追憶,花蕾圣女的追忆,Echo der Heiligen der Knospe,Recuerdo de la Santa de los Capullos,Воспоминание о святой Цветочных бутонов,ذﻛﺭى ﻗﺩﻳﺱ اﻟﺑﺭﻋﻡ,꽃봉오리의 성녀의 추억
2002905,Remembrance of the Dancing Lion,獅子舞の追憶,舞狮的追忆,Echo des tanzenden Löwen,Recuerdo del León Danzante,Воспоминание о танцующем льве,ذﻛﺭى اﻷﺳﺩ اﻟﺭاﻗﺹ,사자무의 추억
2002907,Remembrance of a God and a Lord,神と王の追憶,神祇与王的追忆,Echo eines Gottes und eines Fürsten,Recuerdo de un Dios y un Señor,Воспоминание о Боге и Повелителе,ذﻛﺭى ﺣﺎﻛﻡ وﻟﻭرد,신과 왕의 추억
2002908,Remembrance of the Lord of Frenzied Flame,狂い火の王の追憶,癫火之王的追忆,Echo des Herrn der Rasenden Flamme,Recuerdo del Señor del Fuego Frenético,Воспоминание о Владыке Яростного Пламени,ذﻛﺭى ﻟﻭرد اﻟﻠﻬﺏ اﻟﻣﺳﺗﻌﺭ,미친 불의 왕의 추억
2002909,Remembrance of the Mother of Fingers,指の母の追憶,指头之母的追忆,Echo der Mutter der Finger,Recuerdo de la Madre de los Dedos,Воспоминание о матери Пальцев,ذﻛﺭى أم اﻷﺻﺎﺑﻊ,손가락의 어머니의 추억
2002910,Remembrance of Putrescence,泥濘の追憶,融泥的追忆,Echo der Verwesung,Recuerdo de la Putrescencia,Воспоминание о Гниющем,ذﻛﺭى اﻟﻌﻔﻥ,수렁의 추억
2002950,Leda's Rune,レダのルーン,蕾妲的卢恩,Ledas Rune,Runa de Leda,Руна Леды,رون ﻟﻳﺩا,레다의 룬
2002951,Broken Rune,壊れたルーン,毁坏卢恩,Gebrochene Rune,Runa rota,Расколотая руна,رون ﻣﻛﺳﻭر,망가진 룬
2002952,Shadow Realm Rune [1],影の地のルーン【１】,幽影之地卢恩【１】,Schattenreich-Rune [1],Runa del Reino de las Sombras [1],Руна царства теней [1],رون ﻣﻣﻠﻛﺔ اﻟﻅﻝ [1],그림자의 땅의 룬 [1]
2002953,Shadow Realm Rune [2],影の地のルーン【２】,幽影之地卢恩【２】,Schattenreich-Rune [2],Runa del Reino de las Sombras [2],Руна царства теней [2],رون ﻣﻣﻠﻛﺔ اﻟﻅﻝ [2],그림자의 땅의 룬 [2]
2002954,Shadow Realm Rune [3],影の地のルーン【３】,幽影之地卢恩【３】,Schattenreich-Rune [3],Runa del Reino de las Sombras [3],Руна царства теней [3],رون ﻣﻣﻠﻛﺔ اﻟﻅﻝ [3],그림자의 땅의 룬 [3]
2002955,Shadow Realm Rune [4],影の地のルーン【４】,幽影之地卢恩【４】,Schattenreich-Rune [4],Runa del Reino de las Sombras [4],Руна царства теней [4],رون ﻣﻣﻠﻛﺔ اﻟﻅﻝ [4],그림자의 땅의 룬 [4]
2002956,Shadow Realm Rune [5],影の地のルーン【５】,幽影之地卢恩【５】,Schattenreich-Rune [5],Runa del Reino de las Sombras [5],Руна царства теней [5],رون ﻣﻣﻠﻛﺔ اﻟﻅﻝ [5],그림자의 땅의 룬 [5]
2002957,Shadow Realm Rune [6],影の地のルーン【６】,幽影之地卢恩【６】,Schattenreich-Rune [6],Runa del Reino de las Sombras [6],Руна царства теней [6],رون ﻣﻣﻠﻛﺔ اﻟﻅﻝ [6],그림자의 땅의 룬 [6]
2002958,Shadow Realm Rune [7],影の地のルーン【７】,幽影之地卢恩【７】,Schattenreich-Rune [7],Runa del Reino de las Sombras [7],Руна царства теней [7],رون ﻣﻣﻠﻛﺔ اﻟﻅﻝ [7],그림자의 땅의 룬 [7]
2002959,Rune of an Unsung Hero,謳われぬ英雄のルーン,不受赞扬的英雄卢恩,Rune eines unbesungenen Helden,Runa de un héroe olvidado,Руна невоспетого героя,رون ﺑﻁﻝ ﻣﺟﻬﻭل,칭송받지 못할 영웅의 룬
2002960,Marika's Rune,マリカのルーン,玛莉卡的卢恩,Marikas Rune,Runa de Márida,Руна Марики,رون ﻣﺎرﻳﻛﺎ,마리카의 룬
2003000,Bondstone,絆の石,情谊石,Bindungsstein,Piedra vinculante,Камень связи,ﺣﺟﺭ اﻟﺻﻠﺔ,유대석
2003001,Spritestone,精霊石,精灵石,Geiststein,Piedra espiritual,Камень духов,ﺣﺟﺭ اﻟﺷﺑﺢ,정령석
2003130,Horned Bairn,角水子,带角幼子像,Gehörntes Kind,Retoño con cuernos,Рогатое дитя,ﻁﻔﻝ ذو ﻗﺭن,뿔인간 사산아
2003140,Perfumed Oil of Ranah,ラーナの香油瓶,拉纳香油瓶,Duftöl von Ranah,Aceite perfumado de Ranah,Душистое масло Ранаха,زﻳﺕ راﻧﺎه اﻟﻌﻁﺭي,라나의 향유병
2003150,Call of Tibia,ティビアの呼び声,提比亚的唤声,Tibias Ruf,Llamado de Tibia,Зов Тибии,ﻧﺩاء ﺗﻳﺑﻳﺎ,티비아의 부름
2003160,Surging Frenzied Flame,迸る狂い火,迸发癫火,Lodernde rasende Flamme,Llama frenética creciente,Бушующее Яростное Пламя,اﻟﻠﻬﺏ اﻟﻣﺳﺗﻌﺭ اﻟﻬﺎﺋﺞ,내뿜는 미친 불
2003170,Golden Vow,黄金樹に誓って,黄金树立誓,Goldener Schwur,Voto dorado,Золотой обет,اﻟﻌﻬﺩ اﻟﺫﻫﺑﻲ,황금 나무에 맹세코
2003180,Fire Coil,火の蜷局,蜷曲火焰,Feuerspirale,Espiral de fuego,Огненный завиток,اﻟﺩواﻣﺔ اﻟﻧﺎرﻳﺔ,불의 똬리
2003190,Fire Spritestone,火霊石,火精灵石,Feuer-Geiststein,Piedra espiritual de fuego,Огненный камень духов,ﺣﺟﺭ اﻟﺷﺑﺢ اﻟﻧﺎري,화령석
2003200,Glinting Nail,輝く爪,光辉指爪,Schimmernder Nagel,Uña reluciente,Сверкающий ноготь,اﻟﻅﻔﺭ اﻟﻣﺗﻸﻟﺊ,빛나는 손톱
2003310,Sunwarmth Stone,陽だまり石,暖阳石,Stein der Sonnenwärme,Roca de calidez,Камень тёплого солнца,ﺣﺟﺭ دفء اﻟﺷﻣﺱ,양지석
2003350,Charming Branch,魅了の枝,惑众树枝,Bezaubernder Ast,Rama encantadora,Чарующая ветвь,اﻟﻔﺭع اﻵﺳﺭ,매료의 나뭇가지
2004300,Miriam's Vanishing,ミリアムの消失,米丽安的消失,Miriams Verschwinden,Desvanecimiento de Miriam,Завеса Мириам,اﺧﺗﻔﺎء ﻣﻳﺭﻳﺎم,미리암의 소실
2004310,Glintblade Trio,魔術の三輝剣,魔法三辉剑,Schimmerklingen-Trio,Trío de destellojas,Три блестящих клинка,ﺛﻼﺛﻳﺔ اﻟﻧﺻﺎل اﻟﻼﻣﻌﺔ,마술의 삼휘검
2004320,Rellana's Twin Moons,レラーナの双月,蕾菈娜的双月,Rellanas Zwillingsmonde,Lunas gemelas de Rellana,Две луны Релланы,اﻟﻘﻣﺭان اﻟﺗﻭأم ﻟﺭﻳﻼﻧﺎ,렐라나의 쌍월
2004500,Glintstone Nail,輝石の爪,辉石指爪,Schimmerstein-Nagel,Clavo de destellita,Блестящий гвоздь,ﻅﻔﺭ اﻟﺣﺟﺭ اﻟﻼﻣﻊ,휘석의 발톱
2004510,Glintstone Nails,輝石の多爪,辉石繁指爪,Schimmerstein-Nägel,Clavos de destellita,Блестящие гвозди,أﻅﻔﺎر اﻟﺣﺟﺭ اﻟﻼﻣﻊ,휘석의 많은 발톱
2004700,Blades of Stone,岩の刃,岩块刀刃,Steinklingen,Hojas de piedra,Каменные клинки,اﻟﻧﺻﺎل اﻟﺣﺟﺭﻳﺔ,바위 칼날
2004710,Gravitational Missile,引力弾,引力球,Gravitationsrakete,Misil gravitatorio,Гравитационный снаряд,ﻗﺫﻳﻔﺔ اﻟﺟﺎذﺑﻳﺔ,인력탄
2004900,Mantle of Thorns,刺纏い,棘刺上身,Dornenmantel,Manto de espinas,Шипованная мантия,ﻋﺑﺎءة اﻷﺷﻭاك,가시 두르기
2004910,Impenetrable Thorns,拒絶の刺,拒绝的刺,Undurchdringliche Dornen,Espinas impenetrables,Непробиваемые шипы,اﻷﺷﻭاك اﻟﻣﻧﻳﻌﺔ,거절의 가시
2005000,Rings of Spectral Light,霊光輪,灵魂光环,Ringe aus Spektrallicht,Anillos de luz espectral,Кольца призрачного света,اﻟﺣﻠﻘﺎت اﻟﺿﻭﺋﻳﺔ اﻟﻁﻳﻔﻳﺔ,영의 빛고리
2006200,Vortex of Putrescence,泥濘の渦,融泥漩,Wirbel der Verwesung,Vórtice de putrescencia,Вихрь гнили,دواﻣﺔ اﻟﻌﻔﻥ,수렁의 소용돌이
2006210,Mass of Putrescence,泥濘の塊,融泥块,Masse der Verwesung,Masa de putrescencia,Пузырь гнили,ﻛﺗﻠﺔ اﻟﻌﻔﻥ,수렁의 덩어리
2006300,Furious Blade of Ansbach,アンスバッハの狂刃,安帕赫的狂刃,Zornige Klinge Ansbachs,Hoja furiosa de Ansbach,Неистовый клинок Ансбаха,ﻧﺻﻝ آﻧﺳﺑﺎخ اﻟﻭﺣﺷﻲ,안스바흐의 미친 칼날
2006400,Heal from Afar,彼方からの回復,远方之恢复,Heilung aus der Ferne,Sanación a distancia,Лечение на расстоянии,اﻟﺗﻌﺎﻓﻲ ﻋﻥ ﺑُﻌﺩ,저편에서 온 회복
2006650,Aspects of the Crucible: Thorns,坩堝の諸相・針,熔炉百相之针,Aspekt des Schmelztiegels: Dornen,Aspectos del Crisol: Espinas,Атрибут рыцаря Горнила: шипы,ﺟﻭاﻧﺏ اﻟﺑﻭﺗﻘﺔ: اﻷﺷﻭاك,도가니의 모습/침
2006660,Aspects of the Crucible: Bloom,坩堝の諸相・花,熔炉百相之花,Aspekt des Schmelztiegels: Blüte,Aspectos del Crisol: Flor,Атрибут рыцаря Горнила: цветок,ﺟﻭاﻧﺏ اﻟﺑﻭﺗﻘﺔ: اﻟﺯﻫﺭة,도가니의 모습/꽃
2006670,Minor Erdtree,小黄金樹,小黄金树,Niederer Erdenbaum,Terrárbol menor,Малое Древо Эрд,ﺷﺟﺭة إرد اﻟﺻﻐﻳﺭة,작은 황금 나무
2006680,Land of Shadow,影の地,幽影之地,Schattenland,Tierra de la Sombra,Земля теней,أرض اﻟﻅﻝ,그림자의 땅
2006690,Wrath from Afar,彼方からの怒り,远方之怒,Zorn aus der Ferne,Ira a distancia,Отголосок гнева,اﻟﻐﺿﺏ ﻋﻥ ﺑُﻌﺩ,저편에서 온 분노
2006700,Light of Miquella,ミケラの光,米凯拉的光,Licht Miquellas,Luz de Miquella,Свет Микеллы,ﺿﻭء ﻣﻳﻛﻼ,미켈라의 빛
2006710,Multilayered Ring of Light,重なり合う光輪,相迭光环,Mehrschichtiger Ring des Lichts,Anillos superpuestos de luz,Многослойные кольца света,اﻟﺣﻠﻘﺎت اﻟﺿﻭﺋﻳﺔ ﻣﺗﻌﺩدة اﻟﻁﺑﻘﺎت,겹쳐지는 빛고리
2006800,Roar of Rugalea,ルガリアの咆哮,鲁格利亚的咆哮,Gebrüll von Rugalea,Rugido de Rugalea,Рёв Ругали,ﺻﻳﺣﺔ روﻏﺎﻟﻲ,루가리아의 포효
2006900,Knight's Lightning Spear,騎士の雷槍,骑士雷电枪,Ritterblitzspeer,Lanza de rayo de los caballeros,Громовое копьё рыцаря,رﻣﺢ اﻟﻔﺎرس اﻟﺑﺭﻗﻲ,기사의 뇌창
