ID,NAME,説明 (日本語-japanese),描述 (中文-chinese),Опис (українська-ukrainian),Beschreibung (deutsch-german),Описание (русский-russian),La description (français-french),설명 (한국어-korean)
1221,Marika's Soreseal,マリカの爛れ刻印,玛莉卡的糜烂烙印,Тавро болю Маріки,,Печать Марики от боли,,
1230,Warrior Jar Shard,戦士の壺の破片,战士壶碎片,Уламок воїна-горщика,,Осколок воина-кувшина,,
1231,Shard of Alexander,アレキサンダーの破片,亚历山大的碎片,Уламок Александера,,Осколок Александра,,
1250,Millicent's Prosthesis,ミリセントの義手,米莉森的义手,Протез Міллісент,,Протез Миллисенты,,
2000,Magic Scorpion Charm,魔力の蠍,魔力对蝎,Талісман чарівного скорпіона,,Амулет с волшебным скорпионом,,
2010,Lightning Scorpion Charm,雷の蠍,雷对蝎,Талісман блискавкового скорпіона,,Амулет с грозовым скорпионом,,
2020,Fire Scorpion Charm,炎の蠍,火对蝎,Талісман вогняного скорпіона,,Амулет с огненным скорпионом,,
2030,Sacred Scorpion Charm,聖なる蠍,圣对蝎,Талісман священого скорпіона,,Амулет со священным скорпионом,,
2040,Red-Feathered Branchsword,赤羽の七支刃,红羽七刃剑,Гілкуватий меч із червоним пір'ям,,Меч с красными перьями,,
2050,Ritual Sword Talisman,捧闘の剣のタリスマン,献斗剑护符,Талісман ритуального меча,,Талисман ритуального меча,,
2060,Spear Talisman,槍のタリスマン,矛护符,Талісман списа,,Талисман копья,,
2070,Hammer Talisman,大槌のタリスマン,大槌护符,Талісман молота,,Талисман молота,,
2080,Winged Sword Insignia,有翼剣の徽章,带翼剑徽章,Емблема меч з крилами,,Эмблема с крылатым мечом,,
2081,Rotten Winged Sword Insignia,腐敗翼剣の徽章,腐败翼剑徽章,Зогнила емблема меча з крилами,,Эмблема с гниющим крылатым мечом,,
2090,Dagger Talisman,短剣のタリスマン,短剑护符,Талісман кинджала,,Талисман кинжала,,
2100,Arrow's Reach Talisman,遠矢のタリスマン,远箭护符,Талісман далекобійної стріли,,Талисман со стрелой,,
2110,Blue Dancer Charm,青い踊り子,蓝色舞娘,Синій амулет танцівниці,,Синий амулет танцора,,
2120,Twinblade Talisman,両刃のタリスマン,双头剑护符,Талісман подвійного клинка,,Талисман парного клинка,,
2130,Axe Talisman,斧のタリスマン,斧护符,Талісман сокири,,Талисман-топор,,
2140,Lance Talisman,ランスのタリスマン,骑枪护符,Талісман кавалерійського списа,,Талисман пики,,
2150,Arrow's Sting Talisman,硬矢のタリスマン,硬箭护符,Талісман важкої стріли,,Талисман с наконечником стрелы,,
2160,Lord of Blood's Exultation,血の君主の歓喜,鲜血君王的欢愉,Радість Володаря крові,,Торжество Повелителя Крови,,
2170,Kindred of Rot's Exultation,腐敗眷属の歓喜,腐败眷属的欢愉,Радість гниляка,,Торжество родича гнили,,
2180,Claw Talisman,爪のタリスマン,钩爪护符,Талісман кігтя,,Талисман когтя,,
2190,Roar Medallion,咆哮のメダリオン,咆哮链坠,Медальйон рику,,Медальон рёва,,
2200,Curved Sword Talisman,曲剣のタリスマン,曲剑护符,Талісман вигнутого меча,,Талисман изогнутого меча,,
2210,Companion Jar,友なる壺,友好壶,Горщик-супутник,,Сосуд спутника,,
2220,Perfumer's Talisman,調香師のタリスマン,调香师护符,Талісман парфумера,,Талисман парфюмера,,
3000,Graven-School Talisman,魔術師球のタリスマン,魔法师球护符,Талісман кам'яного вчення,,Талисман могильной школы,,
3001,Graven-Mass Talisman,魔術師塊のタリスマン,魔法师块护符,Талісман кам'яної маси,,Мощный талисман могильной школы,,
3040,Faithful's Canvas Talisman,信徒の誓布,信徒的立誓布,Полотняний талісман вірних,,Холщовый талисман верного,,
3050,Flock's Canvas Talisman,集う信徒の誓布,群聚信徒的立誓布,Полотняний талісман зграї,,Холщовый талисман стаи,,
3060,Old Lord's Talisman,古き王のタリスマン,古王护符,Талісман старого лорда,,Талисман старого лорда,,
3070,Radagon Icon,ラダゴンの肖像,拉达冈的肖像,Портрет Радаґона,,Знак Радагона,,
3080,Primal Glintstone Blade,原輝石の刃,源辉石刀,Клинок первісного блискаменю,,Клинок изначального блестящего камня,,
3090,Godfrey Icon,ゴッドフレイの肖像,葛孚雷的肖像,Портрет Ґодфрі,,Знак Годфри,,
4000,Dragoncrest Shield Talisman,竜印の盾のタリスマン,龙徽盾护符,Талісман щита з гербом дракона,,Талисман: щит с гербом дракона,,
4001,Dragoncrest Shield Talisman +1,竜印の盾のタリスマン＋１,龙徽盾护符＋１,Талісман щита з гербом дракона +1,,Талисман: щит с гербом дракона +1,,
4002,Dragoncrest Shield Talisman +2,竜印の盾のタリスマン＋２,龙徽盾护符＋２,Талісман щита з гербом дракона +2,,Талисман: щит с гербом дракона +2,,
4003,Dragoncrest Greatshield Talisman,竜印の大盾のタリスマン,龙徽大盾护符,Талісман великого щита з гербом дракона,,Талисман: великий щит с гербом дракона,,
4010,Spelldrake Talisman,魔力竜印のタリスマン,魔力龙徽护符,Талісман магічного дракона,,Талисман волшебного дракона,,
4011,Spelldrake Talisman +1,魔力竜印のタリスマン＋１,魔力龙徽护符＋１,Талісман магічного дракона +1,,Талисман волшебного дракона +1,,
4012,Spelldrake Talisman +2,魔力竜印のタリスマン＋２,魔力龙徽护符＋２,Талісман магічного дракона +2,,Талисман волшебного дракона +2,,
4020,Flamedrake Talisman,炎竜印のタリスマン,火龙徽护符,Талісман полум'яного дракона,,Талисман огненного дракона,,
4021,Flamedrake Talisman +1,炎竜印のタリスマン＋１,火龙徽护符＋１,Талісман полум'яного дракона +1,,Талисман огненного дракона +1,,
4022,Flamedrake Talisman +2,炎竜印のタリスマン＋２,火龙徽护符＋２,Талісман полум'яного дракона +2,,Талисман огненного дракона +2,,
4030,Boltdrake Talisman,雷竜印のタリスマン,雷龙徽护符,Талісман блискавкового дракона,,Талисман грозового дракона,,
4031,Boltdrake Talisman +1,雷竜印のタリスマン＋１,雷龙徽护符＋１,Талісман блискавкового дракона +1,,Талисман грозового дракона +1,,
4032,Boltdrake Talisman +2,雷竜印のタリスマン＋２,雷龙徽护符＋２,Талісман блискавкового дракона +2,,Талисман грозового дракона +2,,
4040,Haligdrake Talisman,聖竜印のタリスマン,圣龙徽护符,Талісман священого дракона,,Талисман дракона Святого Древа,,
4041,Haligdrake Talisman +1,聖竜印のタリスマン＋１,圣龙徽护符＋１,Талісман священого дракона +1,,Талисман дракона Святого Древа +1,,
4042,Haligdrake Talisman +2,聖竜印のタリスマン＋２,圣龙徽护符＋２,Талісман священого дракона +2,,Талисман дракона Святого Древа +2,,
4050,Pearldrake Talisman,真珠竜印のタリスマン,珍珠龙徽护符,Талісман перлинного дракона,,Талисман жемчужного дракона,,
4051,Pearldrake Talisman +1,真珠竜印のタリスマン＋１,珍珠龙徽护符＋１,Талісман перлинного дракона +1,,Талисман жемчужного дракона +1,,
4052,Pearldrake Talisman +2,真珠竜印のタリスマン＋２,珍珠龙徽护符＋２,Талісман перлинного дракона +2,,Талисман жемчужного дракона +2,,
4060,Crucible Scale Talisman,坩堝鱗のタリスマン,熔炉鳞护符,Лускатий талісман Горнила,,Чешуйчатый талисман,,
4070,Crucible Feather Talisman,坩堝羽のタリスマン,熔炉羽护符,Пір'яний талісман Горнила,,Перьевой талисман,,
4080,Blue-Feathered Branchsword,青羽の七支刃,蓝羽七刃剑,Гілкуватий меч із синім пір'ям,,Меч с синими перьями,,
4090,Ritual Shield Talisman,捧闘の盾のタリスマン,献斗盾护符,Талісман ритуального щита,,Талисман ритуального щита,,
4100,Greatshield Talisman,大盾のタリスマン,大盾护符,Талісман великого щита,,Талисман большого щита,,
4110,Crucible Knot Talisman,坩堝瘤のタリスマン,熔炉瘤护符,Талісман з наросту Горнила,,Узелковый талисман,,
5000,Crimson Seed Talisman,緋色種子のタリスマン,红种子护符,Талісман багряного насіння,,Талисман с кровавыми семенами,,
5010,Cerulean Seed Talisman,青色種子のタリスマン,蓝种子护符,Талісман лазурового насіння,,Талисман с лазурными семенами,,
5020,Blessed Dew Talisman,恵みの雫のタリスマン,恩惠露滴护符,Талісман благословенної роси,,Талисман с благословенной росой,,
5030,Taker's Cameo,略奪のカメオ,掠夺浮雕坠饰,Камея відбирача,,Камея разбойника,,
5040,Godskin Swaddling Cloth,神肌のおくるみ,神皮襁褓,Повивальне богошкірне полотно,,Плащаница из божественной кожи,,
5050,Assassin's Crimson Dagger,緋色の凶刃,染红凶刀,Багряний кинджал вбивці,,Багровый кинжал убийцы,,
5060,Assassin's Cerulean Dagger,青色の凶刃,染蓝凶刀,Лазуровий кинджал вбивці,,Лазурный кинжал убийцы,,
6000,Crepus's Vial,クレプスの小瓶,克雷普的小瓶子,Флакон Крепуса,,Пузырёк Крепуса,,
6010,Concealing Veil,身隠しのヴェール,隐身面纱,Маскувальна вуаль,,Скрывающая вуаль,,
6020,Carian Filigreed Crest,カーリアの徽章,卡利亚徽章,Майстерний карійський герб,,Карианский филигранный герб,,
6040,Longtail Cat Talisman,長尾猫のタリスマン,长尾猫别针,Талісман довгоховстої кішки,,Талисман с длиннохвостой кошкой,,
6050,Shabriri's Woe,シャブリリの禍,夏玻利利之祸,Нещастя Шабрірі,,Клятва Шабрири,,
6060,Daedicar's Woe,デーディカの禍,狄蒂卡之祸,Нещастя Дедікари,,Клятва Дэдикара,,
6070,Sacrificial Twig,犠牲の細枝,牺牲细枝,Жертовна гілочка,,Жертвенная ветвь,,
6080,Furled Finger's Trick-Mirror,鉤指の偽装鏡,勾指伪装镜,Оманливе дзеркало Зігнутого пальця,,Обманчивое зеркало Скрюченного пальца,,
6090,Host's Trick-Mirror,主の偽装鏡,主人伪装镜,Оманливе дзеркало господаря,,Обманчивое зеркало Хозяина,,
6100,Entwining Umbilical Cord,絡み合う臍帯,纠缠脐带,[Error]Entwining Umbilical Cord,,Переплетённая пуповина,,
6110,Ancestral Spirit's Horn,祖霊の角,祖灵角,Ріг духа предків,,Рог духа предка,,
