ID,NAME,説明 (日本語-japanese),描述 (中文-chinese),Опис (українська-ukrainian),Beschreibung (deutsch-german),Описание (русский-russian),La description (français-french),설명 (한국어-korean)
193,Morgott's Great Rune,モーゴットの大ルーン,蒙葛特的大卢恩,Велика руна Морґотта,,Великая руна Морготта,,
194,Rykard's Great Rune,ライカードの大ルーン,拉卡德的大卢恩,Велика руна Рікарда,,Великая руна Рикарда,,
195,Mohg's Great Rune,モーグの大ルーン,蒙格的大卢恩,Велика руна Моґа,,Великая руна Мога,,
196,Malenia's Great Rune,マレニアの大ルーン,玛莲妮亚的大卢恩,Велика руна Маленії,,Великая руна Малении,,
250,Flask of Wondrous Physick,霊薬の聖杯瓶,灵药圣杯瓶,Фляга з чудодійним зіллям,,Фляга с чудесным снадобьем,,
251,Flask of Wondrous Physick,霊薬の聖杯瓶,灵药圣杯瓶,Фляга з чудодійним зіллям,,Фляга с чудесным снадобьем,,
300,Fire Pot,火炎壺,火焰壶,Вогняний горщик,,Огненный горшок,,
301,Redmane Fire Pot,赤獅子の火炎壺,红狮子火焰壶,Вогняний горщик рудогривого,,Огненный горшок Рыжей Гривы,,
302,Giantsflame Fire Pot,巨人火の火炎壺,巨人火火焰壶,Вогняний горщик полум'я велетнів,,Огненный горшок Великанского пламени,,
320,Lightning Pot,雷壺,雷电壶,Блискавковий горщик,,Горшок с молнией,,
321,Ancient Dragonbolt Pot,古竜の雷壺,古龙雷电壶,Горщик блискавки прадавнього дракона,,Горшок грома древнего дракона,,
330,Fetid Pot,糞壺,粪便壶,Смердючий горщик,,Зловонный горшок,,
340,Swarm Pot,蠅壺,苍蝇壶,Горщик з мухами,,Горшок с роем мух,,
350,Holy Water Pot,聖水壺,圣水壶,Горщик зі святою водою,,Горшок со святой водой,,
351,Sacred Order Pot,聖律壺,圣律壶,Горщик Священного устрою,,Горшок священного порядка,,
360,Freezing Pot,氷結壺,结冰壶,Морозний горщик,,Ледяной горшок,,
370,Poison Pot,毒壺,毒壶,Отруйний горщик,,Горшок яда,,
380,Oil Pot,油壷,油壶,Горщик з олією,,Горшок масла,,
390,Alluring Pot,誘い壺,诱敌壶,Вабливий горщик,,Манящий горшок,,
391,Beastlure Pot,獣誘いの壺,引兽壶,Горщик приваблення звірів,,Горшок зверя,,
400,Roped Fire Pot,紐付き火炎壺,附绳火焰壶,Вогняний горщик на мотузці,,Огненный горшок с верёвкой,,
420,Roped Lightning Pot,紐付き雷壺,附绳雷电壶,Блискавковий горщик на мотузці,,Молниевый горшок с верёвкой,,
430,Roped Fetid Pot,紐付き糞壺,附绳粪便壶,Смердючий горщик на мотузці,,Зловонный горшок с верёвкой,,
440,Roped Poison Pot,紐付き毒壺,附绳毒壶,Отруйний горщик на мотузці,,Горшок яда с верёвкой,,
450,Roped Oil Pot,紐付き油壷,附绳油壶,Горщик з олією на мотузці,,Горшок масла с верёвкой,,
460,Roped Magic Pot,紐付き魔力壺,附绳魔力壶,Магічний горщик на мотузці,,Магический горшок с верёвкой,,
470,Roped Fly Pot,紐付き蠅壺,附绳苍蝇壶,Горщик з мухами на мотузці,,Мушиный горшок с верёвкой,,
480,Roped Freezing Pot,紐付き氷結壺,附绳结冰壶,[ERROR]Roped Freezing Pot,,,,
490,Roped Volcano Pot,紐付き火山壺,附绳火山壶,Вулканічний горщик на мотузці,,Вулканический горшок с верёвкой,,
510,Roped Holy Water Pot,紐付き聖水壺,附绳圣水壶,Горщик зі святою водою на мотузці,,Горшок со святой водой с верёвкой,,
600,Volcano Pot,火山壺,火山壶,Вулканічний горщик,,Вулканический горшок,,
610,Albinauric Pot,しろがね壺,白金壶,Горщик альбінора,,Горшок альбинора,,
630,Cursed-Blood Pot,呪血壺,咒血壶,Горщик проклятої крові,,Горшок с проклятой кровью,,
640,Sleep Pot,眠り壺,催眠壶,Горщик сну,,Дремотный горшок,,
650,Rancor Pot,怨霊壺,怨魂壶,Горщик образи,,Горшок озлобленности,,
660,Magic Pot,魔力壺,魔力壶,Магічний горщик,,Магический горшок,,
661,Academy Magic Pot,学院の魔力壺,学院魔力壶,Магічний горщик академії,,Магический горшок академии,,
670,Rot Pot,腐敗壺,腐败壶,Горщик гнилі,,Горшок гниения,,
810,Rowa Raisin,ロア・レーズン,罗亚果干,Сушена горобина,,Сушёная рябина,,
811,Sweet Raisin,スイート・レーズン,甜酿果干,Солодкі родзинки,,Сладкий изюм,,
812,Frozen Raisin,フローズン・レーズン,冰冻果干,Заморожені родзинки,,Мороженый изюм,,
820,Boiled Crab,ゆでカニ,煮熟螃蟹,Варений краб,,Варёный краб,,
830,Boiled Prawn,ゆでエビ,煮熟虾子,Варена креветка,,Варёная креветка,,
900,Neutralizing Boluses,毒の苔薬,中毒苔药,Пігулки нейтралізації,,Пилюли от отравления,,
910,Stanching Boluses,出血の苔薬,出血苔药,Кровоспинні пігулки,,Пилюли от кровотечения,,
920,Thawfrost Boluses,冷気の苔薬,冻伤苔药,Талі пігулки,,Пилюли от обморожения,,
930,Stimulating Boluses,睡眠の苔薬,催眠苔药,Стимулювальні пігулки,,Стимулирующие пилюли,,
940,Preserving Boluses,腐敗の苔薬,腐败苔药,Захисні пігулки,,Оберегающие пилюли,,
950,Rejuvenating Boluses,死の苔薬,死亡苔药,Омолоджувальні пігулки,,Омолаживающие пилюли,,
960,Clarifying Boluses,発狂の苔薬,发狂苔药,Прояснювальні пігулки,,Проясняющие пилюли,,
1000,Flask of Crimson Tears,緋雫の聖杯瓶,红露滴圣杯瓶,Фляга з багряними слізьми,,Фляга багровых слёз,,
1001,Flask of Crimson Tears,緋雫の聖杯瓶,红露滴圣杯瓶,Фляга з багряними слізьми,,Фляга багровых слёз,,
1002,Flask of Crimson Tears +1,緋雫の聖杯瓶＋１,红露滴圣杯瓶＋１,Фляга з багряними слізьми +1,,Фляга багровых слёз +1,,
1003,Flask of Crimson Tears +1,緋雫の聖杯瓶＋１,红露滴圣杯瓶＋１,Фляга з багряними слізьми +1,,Фляга багровых слёз +1,,
1004,Flask of Crimson Tears +2,緋雫の聖杯瓶＋２,红露滴圣杯瓶＋２,Фляга з багряними слізьми +2,,Фляга багровых слёз +2,,
1005,Flask of Crimson Tears +2,緋雫の聖杯瓶＋２,红露滴圣杯瓶＋２,Фляга з багряними слізьми +2,,Фляга багровых слёз +2,,
1006,Flask of Crimson Tears +3,緋雫の聖杯瓶＋３,红露滴圣杯瓶＋３,Фляга з багряними слізьми +3,,Фляга багровых слёз +3,,
1007,Flask of Crimson Tears +3,緋雫の聖杯瓶＋３,红露滴圣杯瓶＋３,Фляга з багряними слізьми +3,,Фляга багровых слёз +3,,
1008,Flask of Crimson Tears +4,緋雫の聖杯瓶＋４,红露滴圣杯瓶＋４,Фляга з багряними слізьми +4,,Фляга багровых слёз +4,,
1009,Flask of Crimson Tears +4,緋雫の聖杯瓶＋４,红露滴圣杯瓶＋４,Фляга з багряними слізьми +4,,Фляга багровых слёз +4,,
1010,Flask of Crimson Tears +5,緋雫の聖杯瓶＋５,红露滴圣杯瓶＋５,Фляга з багряними слізьми +5,,Фляга багровых слёз +5,,
1011,Flask of Crimson Tears +5,緋雫の聖杯瓶＋５,红露滴圣杯瓶＋５,Фляга з багряними слізьми +5,,Фляга багровых слёз +5,,
1012,Flask of Crimson Tears +6,緋雫の聖杯瓶＋６,红露滴圣杯瓶＋６,Фляга з багряними слізьми +6,,Фляга багровых слёз +6,,
1013,Flask of Crimson Tears +6,緋雫の聖杯瓶＋６,红露滴圣杯瓶＋６,Фляга з багряними слізьми +6,,Фляга багровых слёз +6,,
1014,Flask of Crimson Tears +7,緋雫の聖杯瓶＋７,红露滴圣杯瓶＋７,Фляга з багряними слізьми +7,,Фляга багровых слёз +7,,
1015,Flask of Crimson Tears +7,緋雫の聖杯瓶＋７,红露滴圣杯瓶＋７,Фляга з багряними слізьми +7,,Фляга багровых слёз +7,,
1016,Flask of Crimson Tears +8,緋雫の聖杯瓶＋８,红露滴圣杯瓶＋８,Фляга з багряними слізьми +8,,Фляга багровых слёз +8,,
1017,Flask of Crimson Tears +8,緋雫の聖杯瓶＋８,红露滴圣杯瓶＋８,Фляга з багряними слізьми +8,,Фляга багровых слёз +8,,
1018,Flask of Crimson Tears +9,緋雫の聖杯瓶＋９,红露滴圣杯瓶＋９,Фляга з багряними слізьми +9,,Фляга багровых слёз +9,,
1019,Flask of Crimson Tears +9,緋雫の聖杯瓶＋９,红露滴圣杯瓶＋９,Фляга з багряними слізьми +9,,Фляга багровых слёз +9,,
1020,Flask of Crimson Tears +10,緋雫の聖杯瓶＋１０,红露滴圣杯瓶＋１０,Фляга з багряними слізьми +10,,Фляга багровых слёз +10,,
1021,Flask of Crimson Tears +10,緋雫の聖杯瓶＋１０,红露滴圣杯瓶＋１０,Фляга з багряними слізьми +10,,Фляга багровых слёз +10,,
1022,Flask of Crimson Tears +11,緋雫の聖杯瓶＋１１,红露滴圣杯瓶＋１１,Фляга з багряними слізьми +11,,Фляга багровых слёз +11,,
1023,Flask of Crimson Tears +11,緋雫の聖杯瓶＋１１,红露滴圣杯瓶＋１１,Фляга з багряними слізьми +11,,Фляга багровых слёз +11,,
1024,Flask of Crimson Tears +12,緋雫の聖杯瓶＋１２,红露滴圣杯瓶＋１２,Фляга з багряними слізьми +12,,Фляга багровых слёз +12,,
1025,Flask of Crimson Tears +12,緋雫の聖杯瓶＋１２,红露滴圣杯瓶＋１２,Фляга з багряними слізьми +12,,Фляга багровых слёз +12,,
1050,Flask of Cerulean Tears,青雫の聖杯瓶,蓝露滴圣杯瓶,Фляга з лазуровими слізьми,,Фляга лазурных слёз,,
1051,Flask of Cerulean Tears,青雫の聖杯瓶,蓝露滴圣杯瓶,Фляга з лазуровими слізьми,,Фляга лазурных слёз,,
1052,Flask of Cerulean Tears +1,青雫の聖杯瓶＋１,蓝露滴圣杯瓶＋１,Фляга з лазуровими слізьми +1,,Фляга лазурных слёз +1,,
1053,Flask of Cerulean Tears +1,青雫の聖杯瓶＋１,蓝露滴圣杯瓶＋１,Фляга з лазуровими слізьми +1,,Фляга лазурных слёз +1,,
1054,Flask of Cerulean Tears +2,青雫の聖杯瓶＋２,蓝露滴圣杯瓶＋２,Фляга з лазуровими слізьми +2,,Фляга лазурных слёз +2,,
1055,Flask of Cerulean Tears +2,青雫の聖杯瓶＋２,蓝露滴圣杯瓶＋２,Фляга з лазуровими слізьми +2,,Фляга лазурных слёз +2,,
1056,Flask of Cerulean Tears +3,青雫の聖杯瓶＋３,蓝露滴圣杯瓶＋３,Фляга з лазуровими слізьми +3,,Фляга лазурных слёз +3,,
1057,Flask of Cerulean Tears +3,青雫の聖杯瓶＋３,蓝露滴圣杯瓶＋３,Фляга з лазуровими слізьми +3,,Фляга лазурных слёз +3,,
1058,Flask of Cerulean Tears +4,青雫の聖杯瓶＋４,蓝露滴圣杯瓶＋４,Фляга з лазуровими слізьми +4,,Фляга лазурных слёз +4,,
1059,Flask of Cerulean Tears +4,青雫の聖杯瓶＋４,蓝露滴圣杯瓶＋４,Фляга з лазуровими слізьми +4,,Фляга лазурных слёз +4,,
1060,Flask of Cerulean Tears +5,青雫の聖杯瓶＋５,蓝露滴圣杯瓶＋５,Фляга з лазуровими слізьми +5,,Фляга лазурных слёз +5,,
1061,Flask of Cerulean Tears +5,青雫の聖杯瓶＋５,蓝露滴圣杯瓶＋５,Фляга з лазуровими слізьми +5,,Фляга лазурных слёз +5,,
1062,Flask of Cerulean Tears +6,青雫の聖杯瓶＋６,蓝露滴圣杯瓶＋６,Фляга з лазуровими слізьми +6,,Фляга лазурных слёз +6,,
1063,Flask of Cerulean Tears +6,青雫の聖杯瓶＋６,蓝露滴圣杯瓶＋６,Фляга з лазуровими слізьми +6,,Фляга лазурных слёз +6,,
1064,Flask of Cerulean Tears +7,青雫の聖杯瓶＋７,蓝露滴圣杯瓶＋７,Фляга з лазуровими слізьми +7,,Фляга лазурных слёз +7,,
1065,Flask of Cerulean Tears +7,青雫の聖杯瓶＋７,蓝露滴圣杯瓶＋７,Фляга з лазуровими слізьми +7,,Фляга лазурных слёз +7,,
1066,Flask of Cerulean Tears +8,青雫の聖杯瓶＋８,蓝露滴圣杯瓶＋８,Фляга з лазуровими слізьми +8,,Фляга лазурных слёз +8,,
1067,Flask of Cerulean Tears +8,青雫の聖杯瓶＋８,蓝露滴圣杯瓶＋８,Фляга з лазуровими слізьми +8,,Фляга лазурных слёз +8,,
1068,Flask of Cerulean Tears +9,青雫の聖杯瓶＋９,蓝露滴圣杯瓶＋９,Фляга з лазуровими слізьми +9,,Фляга лазурных слёз +9,,
1069,Flask of Cerulean Tears +9,青雫の聖杯瓶＋９,蓝露滴圣杯瓶＋９,Фляга з лазуровими слізьми +9,,Фляга лазурных слёз +9,,
1070,Flask of Cerulean Tears +10,青雫の聖杯瓶＋１０,蓝露滴圣杯瓶＋１０,Фляга з лазуровими слізьми +10,,Фляга лазурных слёз +10,,
1071,Flask of Cerulean Tears +10,青雫の聖杯瓶＋１０,蓝露滴圣杯瓶＋１０,Фляга з лазуровими слізьми +10,,Фляга лазурных слёз +10,,
1072,Flask of Cerulean Tears +11,青雫の聖杯瓶＋１１,蓝露滴圣杯瓶＋１１,Фляга з лазуровими слізьми +11,,Фляга лазурных слёз +11,,
1073,Flask of Cerulean Tears +11,青雫の聖杯瓶＋１１,蓝露滴圣杯瓶＋１１,Фляга з лазуровими слізьми +11,,Фляга лазурных слёз +11,,
1074,Flask of Cerulean Tears +12,青雫の聖杯瓶＋１２,蓝露滴圣杯瓶＋１２,Фляга з лазуровими слізьми +12,,Фляга лазурных слёз +12,,
1075,Flask of Cerulean Tears +12,青雫の聖杯瓶＋１２,蓝露滴圣杯瓶＋１２,Фляга з лазуровими слізьми +12,,Фляга лазурных слёз +12,,
1100,Pickled Turtle Neck,亀首漬け,腌制龟颈肉,Маринована шия черепахи,,Маринованная шея черепахи,,
1110,Immunizing Cured Meat,免疫の干し肉,免疫肉干,Захисне в'ялене м'ясо,,Полезное вяленое мясо,,
1120,Invigorating Cured Meat,頑健の干し肉,健壮肉干,Живильне в'ялене м'ясо,,Живительное вяленое мясо,,
1130,Clarifying Cured Meat,正気の干し肉,理智肉干,Прояснювальне в'ялене м'ясо,,Просветляющее вяленое мясо,,
1140,Dappled Cured Meat,斑色の干し肉,斑斓肉干,Рябе в'ялене м'ясо,,Пёстрое вяленое мясо,,
1150,Spellproof Dried Liver,抗魔の干し肝,抗魔肝脏干,Протимагічна сушена печінка,,Чаростойкая сушёная печень,,
1160,Fireproof Dried Liver,抗炎の干し肝,抗火肝脏干,Вогнетривка сушена печінка,,Огнестойкая сушёная печень,,
1170,Lightningproof Dried Liver,抗雷の干し肝,抗雷肝脏干,Протиблискавкова сушена печінка,,Молниестойкая сушёная печень,,
1180,Holyproof Dried Liver,抗聖の干し肝,抗圣肝脏干,Протисвященна сушена печінка,,Молитвостойкая сушёная печень,,
1190,Silver-Pickled Fowl Foot,鳥脚の白銀漬け,腌制白银鸟爪,Маринована в сріблі пташина лапка,,Маринованная птичья лапка,,
1200,Gold-Pickled Fowl Foot,鳥脚の黄金漬け,腌制黄金鸟爪,Маринована в золоті пташина лапка,,Позолоченная птичья лапка,,
1210,Exalted Flesh,勇者の肉塊,勇者肉块,Вишукане м'ясо,,Изысканное мясо,,
1220,Deathsbane Jerky,抗死の干し肉,抗死肉干,[ERROR]Deathsbane Jerky,,Изысканное мясо,,
1235,Raw Meat Dumpling,生肉団子,生肉丸,Сира фрикаделька,,Сырая тефтелька,,
1240,Shabriri Grape,シャブリリのブドウ,夏玻利利葡萄,Виноград Шабрірі,,Виноград Шабрири,,
1290,Starlight Shards,星光の欠片,星光碎片,Уламки зоряного світла,,Осколки звездосвета,,
1310,Immunizing White Cured Meat,免疫の干し白肉,免疫白肉干,Захисне біле в'ялене м'ясо,,Белое полезное вяленое мясо,,
1320,Invigorating White Cured Meat,頑健の干し白肉,健壮白肉干,Живильне біле в'ялене м'ясо,,Белое живительное вяленое мясо,,
1330,Clarifying White Cured Meat,正気の干し白肉,理智白肉干,Прояснювальне біле в'ялене м'ясо,,Белое просветляющее вяленое мясо,,
1340,Dappled White Cured Meat,斑色の干し白肉,斑斓白肉干,Рябе біле в'ялене м'ясо,,Белое пёстрое вяленое мясо,,
1350,Deathsbane White Jerky,抗死の干し白肉,抗死白肉干,[ERROR]Deathsbane White Jerky,,,,
1400,Fire Grease,火脂,火油脂,Вогняне мастило,,Огненная смазка,,
1410,Lightning Grease,雷脂,雷油脂,Блискавкове мастило,,Молниевая смазка,,
1420,Magic Grease,魔力脂,魔力油脂,Магічне мастило,,Магическая смазка,,
1430,Holy Grease,聖脂,圣油脂,Священне мастило,,Святая смазка,,
1440,Blood Grease,血脂,出血油脂,Криваве мастило,,Кровавая смазка,,
1450,Soporific Grease,眠り脂,催眠油脂,Снодійне мастило,,Усыпляющая смазка,,
1460,Poison Grease,毒脂,中毒油脂,Отруйне мастило,,Ядовитая смазка,,
1470,Freezing Grease,氷結脂,结冰油脂,Морозне мастило,,Ледяная смазка,,
1480,Dragonwound Grease,竜傷脂,伤龙油脂,Протидраконяче мастило,,Смазка из драконьей раны,,
1490,Rot Grease,腐敗脂,腐败油脂,Гнильне мастило,,Гнилая смазка,,
1500,Drawstring Fire Grease,紐付き火脂,附绳火油脂,Вогняне мастило з ниткою,,Огненная смазка с нитью,,
1510,Drawstring Lightning Grease,紐付き雷脂,附绳雷油脂,Блискавкове мастило з ниткою,,Молниевая смазка с нитью,,
1520,Drawstring Magic Grease,紐付き魔力脂,附绳魔力油脂,Магічне мастило з ниткою,,Магическая смазка с нитью,,
1530,Drawstring Holy Grease,紐付き聖脂,附绳圣油脂,Священне мастило з ниткою,,Святая смазка с нитью,,
1540,Drawstring Blood Grease,紐付き血脂,附绳出血油脂,Криваве мастило з ниткою,,Кровавая смазка с нитью,,
1550,Drawstring Soporific Grease,紐付き眠り脂,附绳催眠油脂,Снодійне мастило з ниткою,,Усыпляющая смазка с нитью,,
1560,Drawstring Poison Grease,紐付き毒脂,附绳中毒油脂,Отруйне мастило з ниткою,,Ядовитая смазка с нитью,,
1570,Drawstring Freezing Grease,紐付き氷結脂,附绳结冰油脂,[ERROR]Drawstring Freezing Grease,,Ледяная смазка с нитью,,
1590,Drawstring Rot Grease,紐付き腐敗脂,附绳腐败油脂,Гнильне мастило з ниткою,,Гнилая смазка с нитью,,
1690,Shield Grease,盾脂,坚盾油脂,Мастило для щита,,Защитная смазка,,
1700,Throwing Dagger,スローイングダガー,投掷匕首,Метальний кинджал,,Метательный кинжал,,
1710,Bone Dart,骨の投げ矢,兽骨飞刀,Кістковий дротик,,Костяной дротик,,
1720,Poisonbone Dart,骨の毒投げ矢,兽骨毒飞刀,Отруйний кістковий дротик,,Ядовитый костяной дротик,,
1730,Kukri,ククリ,廓尔喀弯刀,Кукрі,,Кукри,,
1740,Crystal Dart,結晶投げ矢,结晶飞刀,Кристалічний дротик,,Кристальный дротик,,
1750,Fan Daggers,扇投暗器,扇形暗器,Віялові кинджали,,Веерные кинжалы,,
1760,Ruin Fragment,遺跡石,遗迹石,Уламок руїн,,Обломок руин,,
1830,Explosive Stone,爆発石,爆炸石,Вибуховий камінь,,Взрывной камень,,
1831,Explosive Stone Clump,爆発石の塊,爆炸石块,Грудка вибухових каменів,,Взрывной булыжник,,
1840,Poisoned Stone,毒石,毒石,Отруйний камінь,,Ядовитый камень,,
1841,Poisoned Stone Clump,毒石の塊,毒石块,Грудка отруйних каменів,,Ядовитый булыжник,,
2020,Rainbow Stone,虹色石,虹彩石,Веселковий камінь,,Радужный камень,,
2030,Glowstone,灯り石,照明石,Сяйний камінь,,Светящийся камень,,
2040,Telescope,遠眼鏡,望远镜,Зорова труба,,Телескоп,,
2050,Grace Mimic,祝福擬き,拟态赐福,Імітація благодаті,,Ложная благодать,,
2070,Lantern,ランタン,携带照明灯,Ліхтар,,Фонарь,,
2080,Blasphemous Claw,冒涜の爪,亵渎兽爪,Кіготь блюзнірства,,Богохульный коготь,,
2090,Deathroot,死の根,死根,Корінь смерті,,Корень Смерти,,
2100,Soft Cotton,ふんわり綿,柔软棉花,М'яка бавовна,,Мягкий хлопок,,
2120,Soap,石鹸,肥皂,Мило,,Мыло,,
2130,Celestial Dew,星の雫,星星泪滴,Небесна роса,,Небесная роса,,
2140,Margit's Shackle,マルギットの拘束具,玛尔基特的囚具,Кайдани Марґіта,,Оковы Маргита,,
2150,Mohg's Shackle,モーグの拘束具,蒙格的囚具,Кайдани Моґа,,Оковы Мога,,
2160,Pureblood Knight's Medal,純血騎士褒章,纯血骑士勋章,Медаль чистокровного лицаря,,Медаль чистокровного рыцаря,,
2190,Miquella's Needle,ミケラの針,米凯拉的针,Голка Мікелли,,Игла Микеллы,,
2200,"Prattling Pate ""Hello""",呼び声頭「こんにちは」,唤声泥颅“你好”,Говірка голова «Привіт»,,Говорящая голова «Привет»,,
2201,"Prattling Pate ""Thank you""",呼び声頭「ありがとう」,唤声泥颅“谢谢”,Говірка голова «Дякую»,,Говорящая голова «Спасибо»,,
2202,"Prattling Pate ""Apologies""",呼び声頭「ごめんなさい」,唤声泥颅“对不起”,Говірка голова «Вибач»,,Говорящая голова «Простите»,,
2203,"Prattling Pate ""Wonderful""",呼び声頭「すばらしい！」,唤声泥颅“太棒了！”,Говірка голова «Чудово»,,Говорящая голова «Прекрасно»,,
2204,"Prattling Pate ""Please help""",呼び声頭「助けてくれ…」,唤声泥颅“救命啊……”,Говірка голова «Допоможи»,,Говорящая голова «Помогите»,,
2205,"Prattling Pate ""My beloved""",呼び声頭「愛している」,唤声泥颅“我爱你”,Говірка голова «Моє кохання»,,Говорящая голова «Моя любовь»,,
2206,"Prattling Pate ""Let's get to it""",呼び声頭「はじめようか」,唤声泥颅“我们开始吧”,Говірка голова «До справи»,,Говорящая голова «Вперёд»,,
2207,"Prattling Pate ""You're beautiful""",呼び声頭「貴方は美しいわ」,唤声泥颅“你长得很好看”,Говірка голова «Твоя краса безмежна»,,Говорящая голова «Ты прекраснее всех»,,
2900,Golden Rune [1],黄金のルーン【１】,黄金卢恩【１】,Золота руна [1],,Руна бедняка,,
2901,Golden Rune [2],黄金のルーン【２】,黄金卢恩【２】,Золота руна [2],,Руна жителя окраин [1],,
